ENV,GEN,REP,D50F,WT100SE
IB2017,IT-99-573-1-1,1,43,
IB2017,IT-99-573-1-1,2,45,15.6
IB2017,IT-99-573-1-1,3,41,17.1
IB2017,TVu1000,1,58,10
IB2017,TVu1000,2,78,10.3
IB2017,TVu1000,3,56,11.3
IB2017,TVu10005,1,,.
IB2017,TVu10005,2,.,.
IB2017,TVu10005,3,.,.
IB2017,TVu1004,1,52,13.4
IB2017,TVu1004,2,46,19.1
IB2017,TVu1004,3,50,17.7
IB2017,TVu10100,1,66,12
IB2017,TVu10100,2,71,8.1
IB2017,TVu10100,3,64,11.8
IB2017,TVu1016,1,80,12
IB2017,TVu1016,2,60,10.3
IB2017,TVu1016,3,63,12.4
IB2017,TVu10179,1,66,14
IB2017,TVu10179,2,52,14
IB2017,TVu10179,3,56,13.5
IB2017,TVu10281,1,52,18.5
IB2017,TVu10281,2,57,20.1
IB2017,TVu10281,3,51,19.5
IB2017,TVu1036,1,53,14.35
IB2017,TVu1036,2,52,12.8
IB2017,TVu1036,3,51,12.8
IB2017,TVu10362,1,49,14
IB2017,TVu10362,2,50,15.8
IB2017,TVu10362,3,50,16.6
IB2017,TVu10366,1,49,14.5
IB2017,TVu10366,2,51,12.3
IB2017,TVu10366,3,52,12.6
IB2017,TVu1037,1,53,12
IB2017,TVu1037,2,63,11.04
IB2017,TVu1037,3,56,.
IB2017,TVu10394,1,78,14
IB2017,TVu10394,2,77,18.22
IB2017,TVu10394,3,57,15.2
IB2017,TVu10408,1,66,
IB2017,TVu10408,2,59,5.9
IB2017,TVu10408,3,56,.
IB2017,TVu10466,1,66,8.6
IB2017,TVu10466,2,56,10.33
IB2017,TVu10466,3,50,9.1
IB2017,TVu10513,1,53,8.5
IB2017,TVu10513,2,51,8.2
IB2017,TVu10513,3,55,9.7
IB2017,TVu10545,1,59,14.72
IB2017,TVu10545,2,58,13.8
IB2017,TVu10545,3,60,15
IB2017,TVu10559,1,81,14.5
IB2017,TVu10559,2,49,12.6
IB2017,TVu10559,3,51,.
IB2017,TVu1059,1,49,22.5
IB2017,TVu1059,2,63,20.4
IB2017,TVu1059,3,52,23.2
IB2017,TVu10687,1,66,14.4
IB2017,TVu10687,2,57,14.6
IB2017,TVu10687,3,54,15.1
IB2017,TVu10754,1,53,17
IB2017,TVu10754,2,64,17.8
IB2017,TVu10754,3,51,18.2
IB2017,TVu10835,1,52,16
IB2017,TVu10835,2,45,15
IB2017,TVu10835,3,60,16.5
IB2017,TVu10892,1,66,12.8
IB2017,TVu10892,2,52,12.5
IB2017,TVu10892,3,52,13.3
IB2017,TVu109,1,60,14.5
IB2017,TVu109,2,56,11.6
IB2017,TVu109,3,52,12.5
IB2017,TVu10910,1,59,18.4
IB2017,TVu10910,2,55,19
IB2017,TVu10910,3,55,18.7
IB2017,TVu10918,1,81,14
IB2017,TVu10918,2,46,14.55
IB2017,TVu10918,3,51,.
IB2017,TVu10952,1,75,8.8
IB2017,TVu10952,2,57,9.6
IB2017,TVu10952,3,50,10
IB2017,TVu10973,1,63,14.6
IB2017,TVu10973,2,61,13.9
IB2017,TVu10973,3,74,14.2
IB2017,TVu1124,1,53,18.5
IB2017,TVu1124,2,57,16.8
IB2017,TVu1124,3,55,16.9
IB2017,TVu113,1,64,14.3
IB2017,TVu113,2,56,14
IB2017,TVu113,3,55,14.8
IB2017,TVu11610,1,52,14.4
IB2017,TVu11610,2,54,13.8
IB2017,TVu11610,3,53,14
IB2017,TVu11971,1,79,13.4
IB2017,TVu11971,2,57,12.8
IB2017,TVu11971,3,60,11.3
IB2017,TVu12432,1,78,22
IB2017,TVu12432,2,68,18
IB2017,TVu12432,3,50,18
IB2017,TVu12526,1,78,16.5
IB2017,TVu12526,2,98,18.5
IB2017,TVu12526,3,67,16.8
IB2017,TVu12565,1,66,10.5
IB2017,TVu12565,2,.,.
IB2017,TVu12565,3,50,9.8
IB2017,TVu12710,1,63,10.2
IB2017,TVu12710,2,70,.
IB2017,TVu12710,3,48,.
IB2017,TVu12746,1,56,14.5
IB2017,TVu12746,2,54,14.5
IB2017,TVu12746,3,56,14.6
IB2017,TVu1280,1,53,14
IB2017,TVu1280,2,48,14.6
IB2017,TVu1280,3,50,15.3
