PlotName,Plot-No,ENV,Rep,Blk,Entry,Pedigree,DA,DS,ASI,PHT,EHT,RL,SL,HCV,PASP,EASP,EPP,EAROT  ,GY,STGC
BA21364_IK'OPT_1001,1001,WW,1,1,E79,TZEEIOR 365 X TZEEIOR 249,52,52,0,173.6,99.4,0,12.5,4,4,6,0.88,35.71,6488.888889,
BA21364_IK'OPT_1002,1002,WW,1,1,E122,TZEEIOR 540 X TZEEIOR 197,53,53,0,188.8,89,0,0,3,5,4,1.06,31.58,7677.559913,
BA21364_IK'OPT_1003,1003,WW,1,1,E166,TZEEIOR 24 X TZEEIOR 30 ,53,53,0,176.4,83,0,0,2,5,4,1,5.56,4559.477124,
BA21364_IK'OPT_1004,1004,WW,1,1,E86,TZEEIOR 540 X TZEEIOR 249,51,51,0,184.2,87.2,0,0,6,4,4,1,55.56,8648.801743,
BA21364_IK'OPT_1005,1005,WW,1,1,E48,TZEEIOR 513 X TZEEIOR 97,52,51,1,175.8,111,0,0,4,4,6,1,47.06,6784.313725,
BA21364_IK'OPT_1006,1006,WW,1,1,E144,TZEEIOR 305 X TZEEIOR 197,52,52,0,171.4,67,0,11.11,3,4,3,1.06,5.26,7878.431373,
BA21364_IK'OPT_1007,1007,WW,1,1,E47,TZEEIOR 479 X TZEEIOR 97,51,51,0,176.4,87.2,0,16.67,4,4,4,0.89,25,5627.45098,
BA21364_IK'OPT_1008,1008,WW,1,1,E53,TZEEIOR 542 TZEEIOR 97 ,55,55,0,185,90,0,0,4,3,3,0.94,6.25,8079.738562,
BA21364_IK'OPT_1009,1009,WW,1,1,E66,TZEEIOR 536 X TZEEIOR 97,55,55,0,172,93.2,0,0,5,5,6,0.94,11.76,6562.962963,
BA21364_IK'OPT_1010,1010,WW,1,1,E88,TZEEIOR 523 X TZEEIOR 249,52,52,0,153.4,81.8,0,77.78,6,6,4,1,44.44,3834.422658,
BA21364_IK'OPT_1011,1011,WW,1,1,E93,TZEEIOR 24 X TZEEIOR 249 ,55,56,1,195,90.2,0,0,5,5,4,1,16.67,5041.394336,
BA21364_IK'OPT_1012,1012,WW,1,1,E115,TZEEIOR 365 X TZEEIOR 197,53,53,0,179,85,0,0,3,4,5,1,22.22,8015.686275,
BA21364_IK'OPT_1013,1013,WW,1,1,E155,TZEEIOR 458 X TZEEIOR 30,52,51,1,150,87,0,0,3,6,5,0.94,35.29,3816.993464,
BA21364_IK'OPT_1014,1014,WW,1,1,E183,TZEEIOR 30 X TZEEIOR 249,53,53,0,175,94.4,0,17.65,4,5,4,0.88,46.67,5725.490196,
BA21364_IK'OPT_1015,1015,WW,1,2,E124,TZEEIOR 523 X TZEEIOR 197,53,53,0,169.8,96.4,0,29.41,3,5,3,1,35.29,4517.647059,
BA21364_IK'OPT_1016,1016,WW,1,2,E154,TZEEIOR 515 X TZEEIORV 30,50,49,1,167.8,84,0,0,3,4,5,0.94,35.29,6065.359477,
BA21364_IK'OPT_1017,1017,WW,1,2,E139,TZEEIOR 486 X TZEEIOR 197,53,54,1,171.2,92.2,0,0,3,4,4,0.94,23.53,6121.132898,
BA21364_IK'OPT_1018,1018,WW,1,2,E168,TZEEIOR 41 X TZEEEIOR 30,54,56,2,168.6,83.4,0,0,3,6,4,0.78,35.71,1843.137255,
BA21364_IK'OPT_1019,1019,WW,1,2,E138,TZEEIOR 536 X TZEEIOR 197,53,53,0,171.8,83.2,0,0,3,3,4,1.11,40,8829.1939,
BA21364_IK'OPT_1020,1020,WW,1,2,E29,TZEEIOR 349 XTZEEIOR  9 A,53,53,0,147.8,96,16.67,61.11,4,5,5,0.78,50,3605.446623,
BA21364_IK'OPT_1021,1021,WW,1,2,E85,TZEEIOR 509 X TZEEIOR 249,52,52,0,166.2,80,0,37.5,6,6,4,0.88,50,3764.705882,
BA21364_IK'OPT_1022,1022,WW,1,2,E129,TZEEIOR 24 X TZEEIOR 197 ,53,53,0,190.6,81,0,0,4,4,5,0.93,15.38,4265.795207,
BA21364_IK'OPT_1023,1023,WW,1,2,E176,TZEEIOR 486 X TZEEIOR 30,53,54,1,161.8,84.2,0,0,2,4,3,0.94,58.82,4990.413943,
BA21364_IK'OPT_1024,1024,WW,1,2,E30,TZEEIOR 536 X TZEEIOR  9 A,52,51,1,155.6,87.4,0,52.94,6,4,4,1,58.82,4030.718954,
BA21364_IK'OPT_1025,1025,WW,1,2,E118,TZEEIOR 458 X TZEEIOR 197,49,49,0,183.6,82,0,11.76,3,3,4,1,5.88,6854.901961,
BA21364_IK'OPT_1026,1026,WW,1,2,E110,TZEEIOR 321 X TZEEIOR 197,51,51,0,180.4,92,0,11.11,3,4,5,1.06,31.58,4564.705882,
BA21364_IK'OPT_1027,1027,WW,1,2,E68,TZEEIOR 526 X TZEEIOR 97,53,53,0,171.4,78.4,0,0,3,4,4,0.89,18.75,4559.477124,
BA21364_IK'OPT_1028,1028,WW,1,2,E57,TZEEIOR 24 X TZEEIOR 97 ,54,54,0,189.8,81.4,0,0,3,5,5,1,16.67,4491.503268,
BA21364_IK'OPT_1029,1029,WW,1,3,E192,CHECK 2 - TZEEI 79 x TZEEI 82,50,51,1,177.6,101.6,0,0,2,4,4,1.06,10.53,4280.174292,
BA21364_IK'OPT_1030,1030,WW,1,3,E98,TZEEIOR 221 X TZEEIOR 249 ,52,52,0,186.6,86,0,0,4,3,6,0.88,13.33,3734.204793,
