PlotName,plot,ENV,Rep,Blk,Entry,Pedigree,DP,DS,ASI,PHT,EHT,HCV,PASP,EASP,RL,SL,EPP,EAROT,GY,STGC,Turcicum 10 WAP
BA21365-IK'DT-1001,1001,MD,1,1,E129,TZEEIOR 529,46,45,1,132.2,42.8,2,4,4,0,0,1.055555556,0,1342.04793,5,
BA21365-IK'DT-1002,1002,MD,1,1,E59,TZEEIOR 383,50,50,0,112.4,49.8,3,5,5,0,0,0.470588235,0,776.4705882,5,
BA21365-IK'DT-1003,1003,MD,1,1,E132,TZEEIOR 538,46,44,2,130.2,41.6,5,6,5,0,0,1.055555556,0,761.6557734,6,
BA21365-IK'DT-1004,1004,MD,1,1,E52,TZEEIOR 373,50,51,1,107.8,55,3,4,4,0,0,0.833333333,0,1151.633987,4,
BA21365-IK'DT-1005,1005,MD,1,1,E103,TZEEIOR 470,56,56,0,106,50.2,5,6,5,0,0,0.666666667,0,758.1699346,7,
BA21365-IK'DT-1006,1006,MD,1,1,E205,Check 1 -TZdEEI 4                 ,51,52,1,104,42.8,4,4,5,0,0,0.944444444,0,958.6056645,4,
BA21365-IK'DT-1007,1007,MD,1,1,E166,TZEEIOR 145,56,57,1,88.8,34.2,5,6,5,0,0,0.5,0,582.3529412,6,
BA21365-IK'DT-1008,1008,MD,1,1,E188,TZEEIOR 202,56,58,2,131.2,53.8,2,6,6,0,0,0.5,0,192.1568627,4,
BA21365-IK'DT-1009,1009,MD,1,1,E44,TZEEIOR 356,52,52,0,110.4,46.2,3,2,4,0,0,1.111111111,0,1316.122004,3,
BA21365-IK'DT-1010,1010,MD,1,1,E6,TZEEIOR 284,56,54,2,102.6,43.6,5,4,4,0,0,0.9375,6.666666667,769.4989107,4,
BA21365-IK'DT-1011,1011,MD,1,1,E5,TZEEIOR 283,52,51,1,104.6,56.8,2,3,4,0,0,1.466666667,0,1183.006536,4,
BA21365-IK'DT-1012,1012,MD,1,1,E10,TZEEIOR 290,54,54,0,104,39.4,3,3,3,0,0,1,0,1573.856209,3,
BA21365-IK'DT-1013,1013,MD,1,1,E193,TZEEIOR 486,56,56,0,94.2,39.2,1,6,4,0,0,0.666666667,0,940.087146,4,
BA21365-IK'DT-1014,1014,MD,1,1,E177,TZEEIOR 31,57,57,0,91.6,53.6,3,5,5,0,0,1.111111111,0,944.4444444,4,
BA21365-IK'DT-1015,1015,MD,1,1,E27,TZEEIOR 322,57,57,0,88.4,36.4,4,6,6,0,0,0.555555556,0,580.3921569,6,
BA21365-IK'DT-1016,1016,MD,1,2,E33,TZEEIOR 334,50,50,0,127.2,51.4,3,4,2,0,0,1.375,0,2152.069717,3,
BA21365-IK'DT-1017,1017,MD,1,2,E142,TZEEIOR 42,58,58,0,124.4,54.2,1,6,6,0,0,0.625,0,185.83878,5,
BA21365-IK'DT-1018,1018,MD,1,2,E130,TZEEIOR 535,54,54,0,128.8,65,1,3,3,0,33.33333333,1.333333333,12.5,2065.795207,6,
BA21365-IK'DT-1019,1019,MD,1,2,E40,TZEEIOR 346,49,48,1,105,50.8,5,4,4,0,17.64705882,0.941176471,0,1367.973856,6,
BA21365-IK'DT-1020,1020,MD,1,2,E24,TZEEIOR 313,50,50,0,115.8,46.2,5,4,5,0,0,0.888888889,25,1173.856209,5,
BA21365-IK'DT-1021,1021,MD,1,2,E106,TZEEIOR 477,46,45,1,120.4,42.6,3,3,3,0,44.44444444,1.166666667,0,1962.962963,5,
