"Varieties","Irrigation","Fertilizer","Replication"
"TME419","Irrigate","Fertilized","1"
"TMS581","Irrigate","Fertilized","1"
"TME419","Rain Fed","Fertilized","1"
"TMS581","Rain Fed","Fertilized","1"
"TME419","Irrigate","No Fertilizer","1"
"TMS581","Irrigate","No Fertilizer","1"
"TME419","Rain Fed","No Fertilizer","1"
"TMS581","Rain Fed","No Fertilizer","1"
"TME419","Irrigate","Fertilized","2"
"TMS581","Irrigate","Fertilized","2"
"TME419","Rain Fed","Fertilized","2"
"TMS581","Rain Fed","Fertilized","2"
"TME419","Irrigate","No Fertilizer","2"
"TMS581","Irrigate","No Fertilizer","2"
"TME419","Rain Fed","No Fertilizer","2"
"TMS581","Rain Fed","No Fertilizer","2"
"TME419","Irrigate","Fertilized","3"
"TMS581","Irrigate","Fertilized","3"
"TME419","Rain Fed","Fertilized","3"
"TMS581","Rain Fed","Fertilized","3"
"TME419","Irrigate","No Fertilizer","3"
"TMS581","Irrigate","No Fertilizer","3"
"TME419","Rain Fed","No Fertilizer","3"
"TMS581","Rain Fed","No Fertilizer","3"
"TME419","Irrigate","Fertilized","4"
"TMS581","Irrigate","Fertilized","4"
"TME419","Rain Fed","Fertilized","4"
"TMS581","Rain Fed","Fertilized","4"
"TME419","Irrigate","No Fertilizer","4"
"TMS581","Irrigate","No Fertilizer","4"
"TME419","Rain Fed","No Fertilizer","4"
"TMS581","Rain Fed","No Fertilizer","4"
