Isolate Code,Rep,Hours,Diameter growth
CCF 104 (Fusarium equesti),1,12,0.6
CCF 104 (Fusarium equesti),2,12,0.7
CCF 104 (Fusarium equesti),3,12,0.7
CCF 104 (Fusarium equesti),4,12,0.6
A 33 (Fusarium oxysporum),1,12,0.7
A 33 (Fusarium oxysporum),2,12,0.7
A 33 (Fusarium oxysporum),3,12,0.7
A 33 (Fusarium oxysporum),4,12,0.6
B 15 (Fusarium solani),1,12,0.6
B 15 (Fusarium solani),2,12,0.6
B 15 (Fusarium solani),3,12,0.6
B 15 (Fusarium solani),4,12,0.6
C 2 (Fusarium solani),1,12,0.7
C 2 (Fusarium solani),2,12,0.7
C 2 (Fusarium solani),3,12,0.7
C 2 (Fusarium solani),4,12,0.7
Osogbo 77 (Fusarium oxysporum),1,12,0.6
Osogbo 77 (Fusarium oxysporum),2,12,0.7
Osogbo 77 (Fusarium oxysporum),3,12,0.7
Osogbo 77 (Fusarium oxysporum),4,12,0.6
Osogbo 81 (Fusarium oxysporum),1,12,0.6
Osogbo 81 (Fusarium oxysporum),2,12,0.8
Osogbo 81 (Fusarium oxysporum),3,12,0.8
Osogbo 81 (Fusarium oxysporum),4,12,0.8
Osogbo 79 (Fusarium oxysporum),1,12,0.7
Osogbo 79 (Fusarium oxysporum),2,12,0.7
Osogbo 79 (Fusarium oxysporum),3,12,0.7
Osogbo 79 (Fusarium oxysporum),4,12,0.7
Osogbo 85 (Fusarium oxysporum),1,12,0.8
Osogbo 85 (Fusarium oxysporum),2,12,0.7
Osogbo 85 (Fusarium oxysporum),3,12,0.7
Osogbo 85 (Fusarium oxysporum),4,12,0.7
Osogbo 89 (Fusarium solani),1,12,0.7
Osogbo 89 (Fusarium solani),2,12,0.7
Osogbo 89 (Fusarium solani),3,12,0.6
Osogbo 89 (Fusarium solani),4,12,0.9
Osogbo 84 (Fusarium verticillioides),1,12,0.7
Osogbo 84 (Fusarium verticillioides),2,12,0.8
Osogbo 84 (Fusarium verticillioides),3,12,0.7
Osogbo 84 (Fusarium verticillioides),4,12,0.8
Osogbo 74 (Fusarium verticillioides),1,12,0.7
Osogbo 74 (Fusarium verticillioides),2,12,0.7
Osogbo 74 (Fusarium verticillioides),3,12,0.8
Osogbo 74 (Fusarium verticillioides),4,12,0.9
Osogbo 92 (Fusarium verticillioides),1,12,0.7
Osogbo 92 (Fusarium verticillioides),2,12,0.7
Osogbo 92 (Fusarium verticillioides),3,12,0.7
Osogbo 92 (Fusarium verticillioides),4,12,0.6
Osogbo 90 (Fusarium oxysporom),1,12,0.7
Osogbo 90 (Fusarium oxysporom),2,12,0.8
Osogbo 90 (Fusarium oxysporom),3,12,0.9
Osogbo 90 (Fusarium oxysporom),4,12,0.8
A 19 (Fusarium solani),1,12,0.7
A 19 (Fusarium solani),2,12,0.7
A 19 (Fusarium solani),3,12,0.7
A 19 (Fusarium solani),4,12,0.7
B 29 (Fusarium solani),1,12,0.7
B 29 (Fusarium solani),2,12,0.6
B 29 (Fusarium solani),3,12,0.7
B 29 (Fusarium solani),4,12,0.7
A 15 (Fusarium sporotrichioides),1,12,0.7
