ENV,GEN,REP,BLOCK,YLD
MKLN19,1,1,6,1566.782007
MKLN19,2,1,1,5599.307958
MKLN19,3,1,2,3140.392157
MKLN19,4,1,3,5496.655133
MKLN19,5,1,10,5138.823529
MKLN19,6,1,9,640
MKLN19,7,1,6,1361.245675
MKLN19,8,1,6,1921.199539
MKLN19,9,1,3,2459.700115
MKLN19,10,1,6,1097.439446
MKLN19,11,1,12,1560.322953
MKLN19,12,1,15,4568.16609
MKLN19,13,1,5,2242.399077
MKLN19,14,1,6,2344.083045
MKLN19,15,1,8,2159.907728
MKLN19,16,1,15,3028.28143
MKLN19,17,1,13,1381.960784
MKLN19,18,1,3,2823.66782
MKLN19,19,1,2,2836.816609
MKLN19,20,1,13,1664.452134
MKLN19,21,1,7,1946.435986
MKLN19,22,1,2,6447.427912
MKLN19,23,1,8,1585.236448
MKLN19,24,1,13,1391.372549
MKLN19,25,1,8,2403.55248
MKLN19,26,1,2,6668.512111
MKLN19,27,1,2,2806.459054
MKLN19,1,2,27,5540.761246
MKLN19,2,2,21,8160.553633
MKLN19,3,2,27,8961.937716
MKLN19,4,2,22,6015.594002
MKLN19,5,2,23,2830.17301
MKLN19,6,2,17,2092.733564
MKLN19,7,2,21,7056.239908
MKLN19,8,2,19,3605.167243
MKLN19,9,2,16,6340.94579
MKLN19,10,2,17,3266.15917
MKLN19,11,2,23,2174.948097
MKLN19,12,2,27,6577.16263
MKLN19,13,2,22,9067.404844
MKLN19,14,2,19,2686.966551
MKLN19,15,2,16,4644.705882
MKLN19,16,2,26,4783.391003
MKLN19,17,2,17,4243.690888
MKLN19,18,2,27,5979.238754
MKLN19,19,2,28,3846.735871
MKLN19,20,2,16,5231.418685
MKLN19,21,2,27,4002.72203
MKLN19,22,2,18,7381.960784
MKLN19,23,2,26,4115.247982
MKLN19,24,2,16,1715.340254
MKLN19,25,2,18,1350.588235
MKLN19,26,2,24,2316.44752
MKLN19,27,2,26,4581.038062
MKLN20,1,1,5,3552.479815
MKLN20,2,1,11,2895.686275
MKLN20,3,1,9,3520.138408
MKLN20,4,1,7,3770.149942
MKLN20,5,1,4,2946.943483
MKLN20,6,1,3,2075.294118
MKLN20,7,1,8,3816.33218
MKLN20,8,1,4,3307.266436
MKLN20,9,1,14,4598.200692
MKLN20,10,1,4,2525.767013
MKLN20,11,1,13,3211.441753
MKLN20,12,1,2,3272.987313
MKLN20,13,1,6,2477.508651
MKLN20,14,1,1,3174.579008
MKLN20,15,1,8,4115.294118
MKLN20,16,1,13,3427.2203
MKLN20,17,1,7,3892.226067
MKLN20,18,1,9,3227.958478
MKLN20,19,1,1,2349.434833
MKLN20,20,1,18,1975.409458
MKLN20,21,1,14,2059.976932
MKLN20,22,1,1,1698.638985
MKLN20,23,1,5,2874.602076
MKLN20,24,1,12,1275.755479
MKLN20,25,1,1,2062.283737
MKLN20,26,1,8,4901.407151
MKLN20,27,1,11,3840.138408
MKLN20,1,2,24,3484.290657
MKLN20,2,2,22,3774.394464
MKLN20,3,2,17,5487.797001
MKLN20,4,2,15,4118.93887
MKLN20,5,2,25,5909.296424
MKLN20,6,2,26,2234.740484
MKLN20,7,2,23,3492.318339
MKLN20,8,2,27,3507.266436
MKLN20,9,2,20,3698.638985
MKLN20,10,2,21,4413.148789
MKLN20,11,2,19,3454.901961
MKLN20,12,2,22,4439.584775
MKLN20,13,2,28,4676.401384
MKLN20,14,2,27,3798.846597
MKLN20,15,2,15,4650.519031
MKLN20,16,2,20,2607.197232
MKLN20,17,2,21,3355.847751
MKLN20,18,2,27,3515.294118
MKLN20,19,2,25,4416.055363
MKLN20,20,2,18,1975.409458
MKLN20,21,2,26,2641.983852
MKLN20,22,2,18,3251.1188
MKLN20,23,2,23,2419.008074
MKLN20,24,2,19,1655.363322
MKLN20,25,2,24,2416.33218
MKLN20,26,2,18,3117.139562
MKLN20,27,2,20,1867.589389
MKSTR20,1,1,5,6374.532872
MKSTR20,2,1,11,6025.743945
MKSTR20,3,1,9,7559.677047
MKSTR20,4,1,7,4697.024221
MKSTR20,5,1,4,3347.635525
MKSTR20,6,1,3,3032.802768
MKSTR20,7,1,8,6521.799308
MKSTR20,8,1,4,5753.72549
MKSTR20,9,1,14,3366.089965
MKSTR20,10,1,4,4303.944637
MKSTR20,11,1,13,4702.191465
MKSTR20,12,1,2,1311.00346
MKSTR20,13,1,6,2366.597463
MKSTR20,14,1,1,4810.703576
MKSTR20,15,1,8,2376.931949
MKSTR20,16,1,13,6012.456747
MKSTR20,17,1,7,4759.031142
MKSTR20,18,1,9,5486.136101
MKSTR20,19,1,1,3336.56286
MKSTR20,20,1,2,3266.435986
MKSTR20,21,1,14,2037.370242
MKSTR20,22,1,10,2704.682814
MKSTR20,23,1,5,1999.723183
MKSTR20,24,1,11,3062.698962
MKSTR20,25,1,1,1316.908881
MKSTR20,26,1,8,675.432526
MKSTR20,27,1,11,4409.504037
MKSTR20,1,2,24,7462.237601
MKSTR20,2,2,22,6665.743945
MKSTR20,3,2,17,5032.525952
MKSTR20,4,2,15,3362.399077
MKSTR20,5,2,25,4753.642445
MKSTR20,6,2,26,2678.10842
MKSTR20,7,2,23,5661.231834
MKSTR20,8,2,27,3990.588235
MKSTR20,9,2,20,4729.06113
MKSTR20,10,2,21,5995.773933
MKSTR20,11,2,19,6092.179931
MKSTR20,12,2,22,6975.778547
MKSTR20,13,2,28,3373.656286
MKSTR20,14,2,27,4380.71511
MKSTR20,15,2,15,4061.453287
MKSTR20,16,2,20,3799.510957
MKSTR20,17,2,21,7445.997693
MKSTR20,18,2,27,3706.758939
MKSTR20,19,2,25,5391.649366
MKSTR20,20,2,18,4733.194925
MKSTR20,21,2,26,2026.297578
MKSTR20,22,2,18,2376.931949
MKSTR20,23,2,23,4697.024221
MKSTR20,24,2,19,3340.253749
MKSTR20,25,2,24,3710.818916
MKSTR20,26,2,18,1343.483276
MKSTR20,27,2,20,5472.885813
ABSTR20,1,1,5,5159.861592
ABSTR20,2,1,11,3229.527105
ABSTR20,3,1,9,3862.145329
ABSTR20,4,1,7,4681.522491
ABSTR20,5,1,4,4017.16263
ABSTR20,6,1,3,3959.584775
ABSTR20,7,1,8,3347.561707
ABSTR20,8,1,4,3440.756632
ABSTR20,9,1,14,4275.155709
ABSTR20,10,1,4,3739.238754
ABSTR20,11,1,13,3419.38639
ABSTR20,12,1,2,2716.493656
ABSTR20,13,1,6,3343.944637
ABSTR20,14,1,1,3308.069204
ABSTR20,15,1,8,1743.058824
ABSTR20,16,1,13,2125.287197
ABSTR20,17,1,7,4111.132641
ABSTR20,18,1,9,2374.348328
ABSTR20,19,1,1,3822.394464
ABSTR20,20,1,2,4030.449827
ABSTR20,21,1,14,1986.435986
ABSTR20,22,1,10,1322.814302
ABSTR20,23,1,5,1337.577855
ABSTR20,24,1,11,1337.577855
ABSTR20,25,1,1,2055.566321
ABSTR20,26,1,8,1016.027682
ABSTR20,27,1,11,3658.039216
ABSTR20,1,2,24,8617.485582
ABSTR20,2,2,22,7333.351788
ABSTR20,3,2,17,3318.10842
ABSTR20,4,2,15,4105.743945
ABSTR20,5,2,25,6052.318339
ABSTR20,6,2,26,5623.474048
ABSTR20,7,2,23,6297.39331
ABSTR20,8,2,27,7357.490196
ABSTR20,9,2,20,7053.287197
ABSTR20,10,2,21,3292.272203
ABSTR20,11,2,19,5647.058824
ABSTR20,12,2,22,6025.743945
ABSTR20,13,2,28,6262.329873
ABSTR20,14,2,27,5368.027682
ABSTR20,15,2,15,3085.951557
ABSTR20,16,2,20,6393.983852
ABSTR20,17,2,21,2669.250288
ABSTR20,18,2,27,6695.27105
ABSTR20,19,2,25,5559.732411
ABSTR20,20,2,18,3373.471742
ABSTR20,21,2,26,3329.181084
ABSTR20,22,2,18,986.5743945
ABSTR20,23,2,23,3164.124567
ABSTR20,24,2,19,1640.599769
ABSTR20,25,2,24,3731.1188
ABSTR20,26,2,18,3052.733564
ABSTR20,27,2,20,3941.868512
MKOPT19,1,1,26,10842.35294
MKOPT19,2,1,1,9497.39331
MKOPT19,3,1,2,9327.612457
MKOPT19,4,1,3,8958.892734
MKOPT19,5,1,9,9683.414072
MKOPT19,6,1,21,3236.908881
MKOPT19,7,1,6,9277.785467
MKOPT19,8,1,6,10854.16378
MKOPT19,9,1,3,11019.51557
MKOPT19,10,1,6,10253.2872
MKOPT19,11,1,11,6165.259516
MKOPT19,12,1,13,8771.026528
MKOPT19,13,1,5,11078.56978
MKOPT19,14,1,5,6805.997693
MKOPT19,15,1,7,9178.131488
MKOPT19,16,1,14,8590.542099
MKOPT19,17,1,12,8972.54902
MKOPT19,18,1,10,9714.417532
MKOPT19,19,1,2,8387.543253
MKOPT19,20,1,12,9766.089965
MKOPT19,21,1,7,7624.636678
MKOPT19,22,1,8,11632.94118
MKOPT19,23,1,18,9277.785467
MKOPT19,24,1,13,7129.319493
MKOPT19,25,1,8,3800.138408
MKOPT19,26,1,23,9383.713956
MKOPT19,27,1,25,6820.761246
MKOPT19,1,2,5,10936.83968
MKOPT19,2,2,20,10700.62284
MKOPT19,3,2,26,10352.94118
MKOPT19,4,2,21,9394.786621
MKOPT19,5,2,23,6569.780854
MKOPT19,6,2,17,5314.878893
MKOPT19,7,2,20,11520
MKOPT19,8,2,18,13671.0496
MKOPT19,9,2,15,7494.717416
MKOPT19,10,2,16,6466.435986
MKOPT19,11,2,22,9394.048443
MKOPT19,12,2,26,9683.414072
MKOPT19,13,2,21,8255.778547
MKOPT19,14,2,18,7575.916955
MKOPT19,15,2,16,6542.83737
MKOPT19,16,2,24,8972.54902
MKOPT19,17,2,16,5198.615917
MKOPT19,18,2,28,9277.785467
MKOPT19,19,2,25,5946.020761
MKOPT19,20,2,15,7519.077278
MKOPT19,21,2,27,6151.972318
MKOPT19,22,2,26,8246.920415
MKOPT19,23,2,7,8953.356401
MKOPT19,24,2,18,6486.735871
MKOPT19,25,2,19,3800.138408
MKOPT19,26,2,1,7546.758939
MKOPT19,27,2,2,10948.65052
MKOPT20,1,1,5,5202.675894
MKOPT20,2,1,11,3937.439446
MKOPT20,3,1,9,4500.668973
MKOPT20,4,1,7,7226.758939
MKOPT20,5,1,4,5220.392157
MKOPT20,6,1,3,2630.865052
MKOPT20,7,1,8,4485.167243
MKOPT20,8,1,4,4500.668973
MKOPT20,9,1,14,5939.377163
MKOPT20,10,1,4,5255.824683
MKOPT20,11,1,13,4624.682814
MKOPT20,12,1,2,5120
MKOPT20,13,1,6,4635.017301
MKOPT20,14,1,1,3284.890427
MKOPT20,15,1,8,5179.05421
MKOPT20,16,1,13,6422.145329
MKOPT20,17,1,7,3277.508651
MKOPT20,18,1,9,3303.344867
MKOPT20,19,1,1,5866.297578
MKOPT20,20,1,2,5232.202999
MKOPT20,21,1,14,3946.297578
MKOPT20,22,1,10,5131.810842
MKOPT20,23,1,5,3310.726644
MKOPT20,24,1,11,5244.013841
MKOPT20,25,1,1,2598.385236
MKOPT20,26,1,8,3986.15917
MKOPT20,27,1,11,4567.843137
MKOPT20,1,2,24,7234.878893
MKOPT20,2,2,22,5114.094579
MKOPT20,3,2,17,7210.519031
MKOPT20,4,2,15,6451.672434
MKOPT20,5,2,25,6650.980392
MKOPT20,6,2,26,5826.435986
MKOPT20,7,2,23,5084.567474
MKOPT20,8,2,27,6422.145329
MKOPT20,9,2,20,3211.072664
MKOPT20,10,2,21,6569.780854
MKOPT20,11,2,19,5779.930796
MKOPT20,12,2,22,5149.527105
MKOPT20,13,2,28,7153.679354
MKOPT20,14,2,27,4609.181084
MKOPT20,15,2,15,6414.763552
MKOPT20,16,2,20,5249.919262
MKOPT20,17,2,21,5131.810842
MKOPT20,18,2,27,6562.399077
MKOPT20,19,2,25,4480
MKOPT20,20,2,18,5149.527105
MKOPT20,21,2,26,5255.824683
MKOPT20,22,2,18,5184.959631
MKOPT20,23,2,23,5261.730104
MKOPT20,24,2,19,3225.836217
MKOPT20,25,2,24,3207.381776
MKOPT20,26,2,18,7251.1188
MKOPT20,27,2,20,5819.792388
MKOPT20,1,1,5,3924.152249
ABJOPT20,2,1,11,7649.734717
ABJOPT20,3,1,9,3950.726644
ABJOPT20,4,1,7,3310.726644
ABJOPT20,5,1,4,5373.933103
ABJOPT20,6,1,3,4294.348328
ABJOPT20,7,1,8,2982.975779
ABJOPT20,8,1,4,5368.027682
ABJOPT20,9,1,20,4982.698962
ABJOPT20,10,1,4,6993.420992
ABJOPT20,11,1,13,6112.110727
ABJOPT20,12,1,2,5396.078431
ABJOPT20,13,1,6,3808.99654
ABJOPT20,14,1,1,738.177624
ABJOPT20,15,1,8,3645.859285
ABJOPT20,16,1,13,5972.595156
ABJOPT20,17,1,7,3507.820069
ABJOPT20,18,1,9,3596.401384
ABJOPT20,19,1,1,3621.499423
ABJOPT20,20,1,2,6547.635525
ABJOPT20,21,1,14,3670.809689
ABJOPT20,22,1,10,5490.196078
ABJOPT20,23,1,5,3625.5594
ABJOPT20,24,1,11,5559.215686
ABJOPT20,25,1,1,2669.250288
ABJOPT20,26,1,8,4057.024221
ABJOPT20,27,1,11,4849.82699
ABJOPT20,1,2,24,7372.918108
ABJOPT20,2,2,22,7793.937716
ABJOPT20,3,2,17,4660.853518
ABJOPT20,4,2,15,7561.005767
ABJOPT20,5,2,25,4635.017301
ABJOPT20,6,2,26,4739.61707
ABJOPT20,7,2,23,4671.188005
ABJOPT20,8,2,27,7470.357555
ABJOPT20,9,2,14,7461.868512
ABJOPT20,10,2,21,7963.460208
ABJOPT20,11,2,19,3972.871972
ABJOPT20,12,2,22,7364.798155
ABJOPT20,13,2,28,7348.558247
ABJOPT20,14,2,27,5965.951557
ABJOPT20,15,2,15,6913.771626
ABJOPT20,16,2,20,6937.024221
ABJOPT20,17,2,21,6743.252595
ABJOPT20,18,2,27,5131.810842
ABJOPT20,19,2,25,7226.758939
ABJOPT20,20,2,18,6735.50173
ABJOPT20,21,2,26,5992.525952
ABJOPT20,22,2,18,5643.663206
ABJOPT20,23,2,23,3247.981546
ABJOPT20,24,2,19,2986.297578
ABJOPT20,25,2,24,3166.782007
ABJOPT20,26,2,18,4198.385236
ABJOPT20,27,2,20,2889.965398
