Treatment,TY,EM,LA,LLWR,NCMPH,NLPP,NST,PH,PL,PS,LC,LO,LMC,LM,LMVC,LVP,PCU,PCL,PJC,PJP,CS,CSS,CFC,CBC
TR0544,0.61,6.42,358.89,0.85,0.83,3.33,1,48.78,42.58,58.22,3,1,7,2,4,4,8,5,4,1,2,3,6,4
TR0542,0.56,6.42,690.34,0.87,0,8.33,2,65.78,54.58,111.22,3,1,7,2,4,4,8,5,4,1,2,3,6,4
TR0576,1.17,45.67,557.69,1.14,19.33,18.33,7.33,55.51,44.3,60.25,4,1,4,2,4,4,8,5,4,4,2,3,6,4
TR0083,0,24.17,157.72,1.29,0,0.83,1.83,42.55,36,50.03,4,5,7,2,8,4,8,5,4,2,2,3,6,4
TR0015,0,42.17,173.26,1.06,1.83,12.83,0,30.05,22.9,45.53,3,2,7,2,4,3,8,5,4,1,2,3,6,4
TR0182,0.47,67.67,120.59,1.03,3.33,10.33,2.33,72.51,58.3,98.25,4,1,7,2,8,3,8,5,4,2,2,3,6,4
TR0545,1.32,7.67,855.41,0.91,30.33,6.33,1.10E-14,66.74,52.87,90.89,4,1,7,2,8,4,8,5,4,2,2,3,6,4
TR0553,0,7.67,195.36,0.89,2.33,10.33,1,39.74,31.37,47.09,3,3,7,1,8,4,8,5,4,2,2,4,6,4
TR0546,0,7.67,754.85,0.85,5.33,15.33,5,75.74,59.37,97.89,4,1,7,2,8,4,8,5,4,2,2,3,6,4
TR0554,0.82,0,692.25,0.89,19.83,16.33,2,67.49,54.54,98.89,4,3,7,1,8,3,8,5,4,2,2,4,6,4
TR0562,3.22,7.67,1017.2,0.89,67.33,50.33,13,76.74,69.87,104.89,4,1,7,2,8,4,8,5,4,2,2,3,6,4
TR0667,1.11,6.42,473.42,0.84,15.83,5.33,1,48.78,39.58,77.22,4,1,7,1,8,4,8,5,4,2,2,4,6,4
TR0707,0,7.67,90.65,0.87,5.33,5.33,0,31.74,24.17,29.19,3,3,7,1,8,4,8,5,4,2,2,4,6,4
TR0660,1.61,6.42,676.92,0.87,21.83,6.33,2,62.78,51.58,108.22,4,1,7,1,8,4,8,5,4,2,2,3,6,4
TR0668,1.01,6.42,206.47,0.81,19.83,1.33,0,30.28,23.58,48.22,4,1,7,1,8,4,8,5,4,2,2,4,6,4
TR0708,0.27,7.67,451.31,0.88,7.33,20.33,4,53.74,41.37,62.89,3,3,7,1,8,4,8,5,4,2,2,4,6,4
TR0669,2.21,6.42,614,0.85,30.83,4.33,1.80E-15,62.78,53.58,95.22,4,1,7,1,8,4,8,5,4,2,2,4,6,4
TR0725,0.37,45.67,474.69,1.24,3.33,8.33,1.33,57.51,50.8,70.25,4,3,7,2,8,3,8,5,4,1,2,3,6,4
TR0670,1.61,6.42,585.96,0.85,21.83,11.33,3,53.78,49.58,91.22,4,1,7,1,8,4,8,5,4,2,2,3,6,4
TR0711,0.67,0,1132.44,0.86,8.83,33.33,6,108.49,88.54,132.89,4,3,7,1,8,3,8,5,4,2,2,4,6,4
TR0664,1.21,6.42,722.89,0.89,11.83,12.33,2,67.78,54.58,95.22,4,1,7,1,8,4,8,5,4,2,2,4,6,4
TR0736,0,7.67,156.01,0.93,4.33,5.33,0,31.74,23.37,48.89,3,3,7,1,8,4,8,5,4,2,2,4,6,4
