"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",6.13995634468989,25.5831514362079,25.5831514362079
"Dim.2",4.75835679381548,19.8264866408979,45.4096380771057
"Dim.3",2.98769556024809,12.4487315010337,57.8583695781394
"Dim.4",1.75208773556341,7.30036556484753,65.158735142987
"Dim.5",1.26412565635343,5.26719023480595,70.4259253777929
"Dim.6",1.12493559957311,4.68723166488797,75.1131570426809
"Dim.7",0.999630211952352,4.1651258831348,79.2782829258157
"Dim.8",0.969929934089062,4.04137472537109,83.3196576511868
"Dim.9",0.685773712777438,2.85739046990599,86.1770481210928
"Dim.10",0.626067811985607,2.60861588327336,88.7856640043662
"Dim.11",0.56141409186596,2.33922538277483,91.124889387141
"Dim.12",0.458171514472029,1.90904797696679,93.0339373641078
"Dim.13",0.344283058716084,1.43451274465035,94.4684501087581
"Dim.14",0.286521747093615,1.19384061289007,95.6622907216482
"Dim.15",0.224910518621186,0.93712716092161,96.5994178825698
"Dim.16",0.167392699223215,0.697469580096728,97.2968874626665
"Dim.17",0.159836016361299,0.665983401505415,97.9628708641719
"Dim.18",0.135563055590039,0.564846064958497,98.5277169291304
"Dim.19",0.117106745420449,0.487944772585206,99.0156617017156
"Dim.20",0.0911679962728324,0.379866651136802,99.3955283528524
"Dim.21",0.0826578157627836,0.344407565678265,99.7399359185307
"Dim.22",0.05650829400861,0.235451225035875,99.9753871435666
"Dim.23",0.0059048169028927,0.0246034037620529,99.9999905473286
"Dim.24",2.26864112797685e-06,9.45267136657023e-06,100
