"Accession","REP","Location","Year","Weeks"
"TKg-23","1","Ikenne","2019","5"
"TKg-24","1","Ikenne","2019","5"
"TKg-25","1","Ikenne","2019","5"
"TKg-26","1","Ikenne","2019","5"
"TKg-27","1","Ikenne","2019","5"
"TKg-28","1","Ikenne","2019","5"
"TKg-29","1","Ikenne","2019","5"
"TKg-30","1","Ikenne","2019","5"
"TKg-31","1","Ikenne","2019","5"
"TKg-32","1","Ikenne","2019","5"
"TKg-33","1","Ikenne","2019","5"
"TKg-34","1","Ikenne","2019","5"
"TKg-44","1","Ikenne","2019","5"
"TKg-35","1","Ikenne","2019","5"
"TKg-36","1","Ikenne","2019","5"
"TKg-37","1","Ikenne","2019","5"
"TKg-38","1","Ikenne","2019","5"
"TKg-39","1","Ikenne","2019","5"
"TKg-40","1","Ikenne","2019","5"
"TKg-41","1","Ikenne","2019","5"
"TKg-42","1","Ikenne","2019","5"
"TKg-43","1","Ikenne","2019","5"
"TKg-23","2","Ikenne","2019","5"
"TKg-24","2","Ikenne","2019","5"
"TKg-25","2","Ikenne","2019","5"
"TKg-26","2","Ikenne","2019","5"
"TKg-27","2","Ikenne","2019","5"
"TKg-28","2","Ikenne","2019","5"
"TKg-29","2","Ikenne","2019","5"
"TKg-30","2","Ikenne","2019","5"
"TKg-31","2","Ikenne","2019","5"
"TKg-32","2","Ikenne","2019","5"
"TKg-33","2","Ikenne","2019","5"
"TKg-34","2","Ikenne","2019","5"
"TKg-44","2","Ikenne","2019","5"
"TKg-35","2","Ikenne","2019","5"
"TKg-36","2","Ikenne","2019","5"
"TKg-37","2","Ikenne","2019","5"
"TKg-38","2","Ikenne","2019","5"
"TKg-39","2","Ikenne","2019","5"
"TKg-40","2","Ikenne","2019","5"
"TKg-41","2","Ikenne","2019","5"
"TKg-42","2","Ikenne","2019","5"
"TKg-43","2","Ikenne","2019","5"
"TKg-23","3","Ikenne","2019","5"
"TKg-24","3","Ikenne","2019","5"
"TKg-25","3","Ikenne","2019","5"
"TKg-26","3","Ikenne","2019","5"
"TKg-27","3","Ikenne","2019","5"
"TKg-28","3","Ikenne","2019","5"
"TKg-29","3","Ikenne","2019","5"
"TKg-30","3","Ikenne","2019","5"
"TKg-31","3","Ikenne","2019","5"
"TKg-32","3","Ikenne","2019","5"
"TKg-33","3","Ikenne","2019","5"
"TKg-34","3","Ikenne","2019","5"
"TKg-44","3","Ikenne","2019","5"
"TKg-35","3","Ikenne","2019","5"
"TKg-36","3","Ikenne","2019","5"
"TKg-37","3","Ikenne","2019","5"
"TKg-38","3","Ikenne","2019","5"
"TKg-39","3","Ikenne","2019","5"
"TKg-40","3","Ikenne","2019","5"
"TKg-41","3","Ikenne","2019","5"
"TKg-42","3","Ikenne","2019","5"
"TKg-43","3","Ikenne","2019","5"
"TKg-23","1","Ibadan","2019","5"
"TKg-24","1","Ibadan","2019","5"
"TKg-25","1","Ibadan","2019","5"
"TKg-26","1","Ibadan","2019","5"
"TKg-27","1","Ibadan","2019","5"
"TKg-28","1","Ibadan","2019","5"
"TKg-29","1","Ibadan","2019","5"
"TKg-30","1","Ibadan","2019","5"
"TKg-31","1","Ibadan","2019","5"
"TKg-32","1","Ibadan","2019","5"
"TKg-33","1","Ibadan","2019","5"
"TKg-34","1","Ibadan","2019","5"
"TKg-44","1","Ibadan","2019","5"
"TKg-35","1","Ibadan","2019","5"
"TKg-36","1","Ibadan","2019","5"
"TKg-37","1","Ibadan","2019","5"
"TKg-38","1","Ibadan","2019","5"
"TKg-39","1","Ibadan","2019","5"
"TKg-40","1","Ibadan","2019","5"
"TKg-41","1","Ibadan","2019","5"
"TKg-42","1","Ibadan","2019","5"
"TKg-43","1","Ibadan","2019","5"
"TKg-23","2","Ibadan","2019","5"
"TKg-24","2","Ibadan","2019","5"
"TKg-25","2","Ibadan","2019","5"
"TKg-26","2","Ibadan","2019","5"
"TKg-27","2","Ibadan","2019","5"
"TKg-28","2","Ibadan","2019","5"
"TKg-29","2","Ibadan","2019","5"
"TKg-30","2","Ibadan","2019","5"
"TKg-31","2","Ibadan","2019","5"
"TKg-32","2","Ibadan","2019","5"
"TKg-33","2","Ibadan","2019","5"
"TKg-34","2","Ibadan","2019","5"
"TKg-44","2","Ibadan","2019","5"
"TKg-35","2","Ibadan","2019","5"
"TKg-36","2","Ibadan","2019","5"
"TKg-37","2","Ibadan","2019","5"
"TKg-38","2","Ibadan","2019","5"
"TKg-39","2","Ibadan","2019","5"
"TKg-40","2","Ibadan","2019","5"
"TKg-41","2","Ibadan","2019","5"
"TKg-42","2","Ibadan","2019","5"
"TKg-43","2","Ibadan","2019","5"
"TKg-23","3","Ibadan","2019","5"
"TKg-24","3","Ibadan","2019","5"
"TKg-25","3","Ibadan","2019","5"
"TKg-26","3","Ibadan","2019","5"
"TKg-27","3","Ibadan","2019","5"
"TKg-28","3","Ibadan","2019","5"
"TKg-29","3","Ibadan","2019","5"
"TKg-30","3","Ibadan","2019","5"
"TKg-31","3","Ibadan","2019","5"
"TKg-32","3","Ibadan","2019","5"
"TKg-33","3","Ibadan","2019","5"
"TKg-34","3","Ibadan","2019","5"
"TKg-44","3","Ibadan","2019","5"
"TKg-35","3","Ibadan","2019","5"
"TKg-36","3","Ibadan","2019","5"
