Genotype,Trial_type,Year,Selection ,DMC,Yield,YMV,Tuber_flesh_Oxidation
Faketsa,SCG1,2019,Check,34.29459902,15.95,2.522923077,1
TDr1617001,SCG1,2019,Unselected,35.33333333,41.9,1.8,1
TDr1617002,SCG1,2019,Unselected,26.66666667,33.53333333,2.8,1
TDr1617003,SCG1,2019,Unselected,22.66666667,36.56666667,2,5
TDr1617101,SCG1,2019,Unselected,28.66666667,37.3,2.8,1
TDr1617102,SCG1,2019,Unselected,,22.76666667,2.6,7
TDr1617103,SCG1,2019,Unselected,42.65734266,12.7,2.7,7
TDr1617104,SCG1,2019,Unselected,,,,
TDr1617601,SCG1,2019,Unselected,33.33333333,21.36666667,2.402,7
TDr1617602,SCG1,2019,Unselected,,26.73333333,2.266,7
TDr1617603,SCG1,2019,Unselected,37.33333333,32.6,2.266,1
TDr1617604,SCG1,2019,Selected ,38,28.43333333,2.332,1
TDr1617605,SCG1,2019,Unselected,37.33333333,19.9,2,1
TDr1617606,SCG1,2019,Unselected,36,36.7,2.198,1
TDr1617607,SCG1,2019,Unselected,31.33333333,30.16666667,2.6,1
TDr1617608,SCG1,2019,Unselected,33.33333333,17,2,1
TDr1617609,SCG1,2019,Unselected,32.66666667,27.73333333,2.602,1
TDr1617610,SCG1,2019,Unselected,28.46715328,28.56666667,2.734,1
TDr1617701,SCG1,2019,Unselected,33.33333333,21.63333333,1.932,1
TDr1617702,SCG1,2019,Unselected,35.33333333,21.56666667,2,1
TDr1617703,SCG1,2019,Unselected,34,33.15,2.4,3
TDr1617704,SCG1,2019,Unselected,28,23.6,1.934,5
TDr1617705,SCG1,2019,Unselected,33.56164384,28.16666667,1.934,3
TDr1617706,SCG1,2019,Unselected,35.33333333,33.7,2.2,5
TDr1617707,SCG1,2019,Unselected,36,17.7,2.266,5
TDr1617708,SCG1,2019,Unselected,38,37.66666667,2.468,1
TDr1617709,SCG1,2019,Unselected,35.33333333,31.26666667,2.132,1
TDr1617710,SCG1,2019,Unselected,30,33.73333333,2.534,7
TDr1617711,SCG1,2019,Selected ,46,30.06666667,1.8,1
TDr1617712,SCG1,2019,Unselected,35.33333333,25.46666667,2.666,1
TDr1617713,SCG1,2019,Unselected,35.33333333,25.93333333,2.666,5
TDr1617714,SCG1,2019,Unselected,38,14.5,2.866,3
TDr1617715,SCG1,2019,Unselected,,,,
TDr1617801,SCG1,2019,Unselected,34,21.8,2.468,3
TDr1617802,SCG1,2019,Unselected,34.66666667,32.9,2.402,3
TDr1617803,SCG1,2019,Unselected,32,32.13333333,2.4,1
TDr1617804,SCG1,2019,Unselected,38,29.75,2.3,1
TDr1617805,SCG1,2019,Unselected,33.33333333,16.3,2.198,5
TDr1617806,SCG1,2019,Unselected,34,22.76666667,2.398,1
TDr1617807,SCG1,2019,Unselected,36,7.066666667,2.264,1
TDr1617808,SCG1,2019,Unselected,26.66666667,23.06666667,1.932,3
TDr1617809,SCG1,2019,Unselected,20,23.6,2.534,7
TDr1617810,SCG1,2019,Unselected,37.33333333,50.1,2.402,1
TDr1617811,SCG1,2019,Selected ,38.66666667,42.3,2.068,1
TDr1617812,SCG1,2019,Unselected,44,19.23333333,2.602,1
TDr1617813,SCG1,2019,Unselected,28,33.8,2.066,7
TDr1617901,SCG1,2019,Unselected,33.33333333,25.93333333,1.866,1
TDr1617902,SCG1,2019,Unselected,34,25.8,2,1
TDr1617903,SCG1,2019,Unselected,24,39.46666667,2.066,7
TDr1617904,SCG1,2019,Unselected,33.33333333,27.5,2.266,1
TDr1617905,SCG1,2019,Unselected,33.33333333,24.2,2.066,1
TDr1617906,SCG1,2019,Unselected,29.33333333,22.2,2.536,3
TDr1617907,SCG1,2019,Unselected,28,25.4,2.198,1
TDr1617908,SCG1,2019,Unselected,27.33333333,35.3,3,1
TDr1617909,SCG1,2019,Unselected,32,38.43333333,1.934,1
TDr1617910,SCG1,2019,Unselected,25.33333333,13.63333333,2.398,1
TDr1617911,SCG1,2019,Unselected,36.66666667,34.56666667,2.868,3
TDr1617912,SCG1,2019,Unselected,38.66666667,22.76666667,2.602,1
TDr1618001,SCG1,2019,Unselected,33.33333333,42.56666667,2,5
TDr1618002,SCG1,2019,Unselected,38.66666667,15.9,2.334,7
TDr1618003,SCG1,2019,Unselected,31.33333333,28.33333333,3,1
TDr1618004,SCG1,2019,Unselected,,,,
TDr1618005,SCG1,2019,Unselected,40.66666667,32.16666667,2.734,1
