Designation,Geno,Location,PLOT_NO,BLK,REP_NO,D50F,FE,BP,RuEs,RtNd,LdS,SHS,PH,M95D,PHvt,MC,HSW,NPY,GY
TGx2029-31F,G19,IITA_Ibadan,1,1,1,48,1,1,1,4,1,1,90,114,30,8.5,14.1,893.8,2234.5
TGx 2029-21F,G15,IITA_Ibadan,2,1,1,51,1,1,1,2,1,1,93,115,57,8.4,12.1,845.8,2114.5
Maksoy-4N,G44,IITA_Ibadan,3,1,1,48,1,1,1,2,2,2,101,109,14,9.1,18.5,590.9,1477.25
(TGx1830-20E/UG5)-#F6-2014-27-6,G33,IITA_Ibadan,4,1,1,48,1,1,1,2.5,2,1,66,109,60,9.1,16.4,1349.1,3372.75
TGx2029-27F,G39,IITA_Ibadan,5,1,1,48,1,1,1,2.5,1,1,83,115,67,8.8,12.9,882.9,2207.25
TGx1987-62FxH7-1-1-4-3-2-E,G13,IITA_Ibadan,6,2,1,53,1,1,1,2.5,1.5,1,69,109,26,8.7,10.2,950.2,2375.5
(TGx1740-2F/MW1)-#F6-2002-10-19,G30,IITA_Ibadan,7,2,1,51,1,1,1,2.5,1,1,58,109,50,9.2,18.7,785,1962.5
(TGx1987-10F/TGx1740-2F)-#F5-1011-8,G41,IITA_Ibadan,8,2,1,51,1,1,1,3,1,3,63,109,42,13.9,12.3,1082.9,2707.25
TGx 2029-39F,G26,IITA_Ibadan,9,2,1,51,1,1,1,3,1,1,84,109,50,9.8,12.4,1036.2,2590.5
TGx_2015-2E,G3,IITA_Ibadan,10,2,1,48,1,1,1,3,1,1,45,114,35,8.8,14.3,1021.4,2553.5
Panaroma-3,G16,IITA_Ibadan,11,3,1,51,1.5,1,1,4,1,1,78,114,44,16.1,9.1,741.4,1853.5
TGx1987-9FxTGx1835-10E-1-2-2-1-1,G7,IITA_Ibadan,12,3,1,51,1,1,1,3,1,1,65,114,82,17.3,8.4,885.1,2212.75
TGx_1951-4F,G1,IITA_Ibadan,13,3,1,53,1,1,1,3.5,3,1,89,114,60,8.9,13.7,1305.3,3263.25
TGx1989-45FxTGx1835-10E-3-2-1-3-3-E,G11,IITA_Ibadan,14,3,1,48,1,1,1,2,3,1,96,109,50,9.1,12.3,1370.2,3425.4
(TGx1740-2F/MW1)-#F6-2002-10-11,G37,IITA_Ibadan,15,3,1,53,1,1,2,3,1.5,1,72,109,66,9.5,14.4,905.4,2263.5
TGx1989-19FxTGx1987-10F-5-3-1-2-2-I,G10,IITA_Ibadan,16,4,1,48,1,1,1,3,2,1,82,109,60,9.9,12.2,1329.4,3323.5
(TGx1740-2F/MW1)-#F6-2002-10-15,G29,IITA_Ibadan,17,4,1,48,1,1,1,3,3,1,63,109,55,9.5,19.5,1259.3,3148.25
TGx 2029-22F,G34,IITA_Ibadan,18,4,1,51,1,1,1,4,1,1,72,114,37,9.6,15.6,896.7,2241.75
(TGx1987-10F/TGx1740-2F)-#F5-1011-6,G40,IITA_Ibadan,19,4,1,51,1,1,1,3.5,1,1,58,114,59,8.7,16,731.6,1829
Panaroma-1,G18,IITA_Ibadan,20,4,1,51,1,1,1,2,1,1,71,114,26,8.7,16.2,666.2,1665.5
TGx1961-1FxH10-2-3-7-2-1,G5,IITA_Ibadan,21,5,1,53,1,1,1,4,1,1,82,114,58,8.3,17.1,638.7,1596.75
TGx1961-1FxTGx1835-10E-1-1-4-2-1-E,G6,IITA_Ibadan,22,5,1,53,1,1,1,3,2,1,91,109,48,9.4,13.2,1104.5,2761.25
(TGx1830-20E/UG5)-#F6-2014-27-5,G32,IITA_Ibadan,23,5,1,53,1,1,1,2,2,1,65,109,58,9.2,13.2,1150.8,2877
TGx 2029-53F,G22,IITA_Ibadan,24,5,1,58,1,1,1,2,1,1,89,115,100,8.3,12.2,776.5,1941.25
TGx1987-11FxH7-3-1-1-1-2-3-I,G8,IITA_Ibadan,25,5,1,51,1,1.5,1,1,3,1,79,114,60,8.9,12.5,1224.5,3061.25
SONGDA,G25,IITA_Ibadan,26,6,1,51,1,1,1,1,1,1,102,115,15,9.2,15.1,1265.2,3163
PANORAMA-27D,G21,IITA_Ibadan,27,6,1,51,1,1,1,1,1,1,60,115,59,8.9,12.2,544.6,1361.5
(TGx1987-62F/MW1)-#F5-1006-22,G43,IITA_Ibadan,28,6,1,51,1,1,1,2.5,1.5,1,90,115,93,8.5,18,903.9,2259.75
TGx 2029-20F,G38,IITA_Ibadan,29,6,1,51,1,1,1,2,1,1,89,115,20,8.5,14.5,360.7,901.75
(TGx1740-2F/MW1)-#F6-2002-10-21,G45,IITA_Ibadan,30,6,1,53,1,1,1,3,2,1,71,114,40,8.4,18.6,869.3,2173.25
TGx_2022-3E,G12,IITA_Ibadan,31,7,1,53,1,1,1,3,2,1,66,114,39,8.9,17.4,1217.9,3044.75
(TGx1987-9F/TGx1740-2F)-#F5-1025-1,G28,IITA_Ibadan,32,7,1,51,1,1,1,3,1,1,75,115,53,8.6,11.1,476,1190
TGX1951-3F,G27,IITA_Ibadan,33,7,1,51,1,1,1,3,2,1,93,114,48,12.5,12.5,967.1,2417.75
TGx 1989-19F,G36,IITA_Ibadan,34,7,1,51,1,1,1,2,1,1,62,114,30,9.2,18.4,1033.3,2583.25
TGx 2029-7F,G17,IITA_Ibadan,35,7,1,51,1,1,1,2,1,1,100,115,61,7.6,14.1,1017.9,2544.75
(TGx1740-2F/MW1)-#F6-2002-10-28,G31,IITA_Ibadan,36,8,1,51,1,1,1,2,1,1,70,109,56,9.6,15.4,1235.4,3088.5
TGx2029-49F,G20,IITA_Ibadan,37,8,1,51,1,1,1,2,1,1,101,114,41,9.2,15.2,988.6,2471.5
TGx1987-11FxH7-3-1-1-1-2-6-I,G9,IITA_Ibadan,38,8,1,51,1,1,1,4,2,1,80,115,40,8.5,15.1,1048.7,2621.75
TGx 1448-2E,G35,IITA_Ibadan,39,8,1,51,1.5,1,1,3,2,1,60,115,31,8.9,13,522.2,1305.5
(TGx1987-62F/MW1)-#F5-1006-15,G42,IITA_Ibadan,40,8,1,56,1.5,1,1,4,3,1,79,115,93,8.7,15.7,927.3,2318.25
TGx1989-11FxTGx1987-10F-1-1-3-1-3-I,G4,IITA_Ibadan,41,9,1,46,1,1,1,3,2,1,84,114,55,8.9,12.3,866.3,2165.75
SC-SIGNA,G24,IITA_Ibadan,42,9,1,53,1,1,1,3,1,1,87,114,94,9,15.5,1674.8,4187
TGx1990-38FxTGx1835-10E-1-4-3-1-1-E,G14,IITA_Ibadan,43,9,1,51,1,1,1,3,2,1,87,109,35,9.2,15.6,808.3,2020.75
TGx_1993-18FN,G2,IITA_Ibadan,44,9,1,45,1,1,1,2,2,1,46,114,54,8.7,14.6,1878.5,4696.25
TGx 2014-16FM,G23,IITA_Ibadan,45,9,1,51,1,1,1,2,2,1,81,114,40,9.2,19.2,139,347.5
