Blocks,Variety,IRR,GY
I,Kora,23,111
I,Kora,46,130
I,Kora,69,157
I,Kora,92,174
I,Hawi,23,117
I,Hawi,46,114
I,Hawi,69,161
I,Hawi,92,141
I,Simada,23,105
I,Simada,46,140
I,Simada,69,118
I,Simada,92,156
II,Kora,23,61
II,Kora,46,91
II,Kora,69,97
II,Kora,92,100
II,Hawi,23,70
II,Hawi,46,108
II,Hawi,69,126
II,Hawi,92,149
II,Simada,23,96
II,Simada,46,124
II,Simada,69,121
II,Simada,92,144
III,Kora,23,68
III,Kora,46,64
III,Kora,69,112
III,Kora,92,86
III,Hawi,23,60
III,Hawi,46,102
III,Hawi,69,89
III,Hawi,92,96
III,Simada,23,89
III,Simada,46,129
III,Simada,69,132
III,Simada,92,124
IV,Kora,23,74
IV,Kora,46,89
IV,Kora,69,81
IV,Kora,92,122
IV,Hawi,23,64
IV,Hawi,46,103
IV,Hawi,69,132
IV,Hawi,92,133
IV,Simada,23,70
IV,Simada,46,89
IV,Simada,69,104
IV,Simada,92,117
V,Kora,23,62
V,Kora,46,90
V,Kora,69,100
V,Kora,92,116
V,Hawi,23,80
V,Hawi,46,82
V,Hawi,69,94
V,Hawi,92,126
V,Simada,23,63
V,Simada,46,70
V,Simada,69,109
V,Simada,92,99
