LOCATION,Rep,BLK,ACC,field row,field column,FF,50F,100F,FP,50P,MP,50MP,100MP,DP,50DP,100DP
Ikenne,1,1,VI040775,1,1,62,71,77,69,76,107,134,142,107,134,146
Ikenne,1,1,TPT 16 W,2,1,58,62,72,73,76,104,113,134,118,134,
Ikenne,1,1,VI043605A,3,1,55,64,72,66,74,100,113,134,111,118,142
Ikenne,1,1,VI054649,4,1,62,63,76,65,77,104,113,119,111,128,134
Ikenne,1,1,VI040736A,5,1,57,64,70,64,71,104,120,141,111,127,
Ikenne,1,1,DINO 04-0037,6,1,70,76,78,77,79,111,115,126,113,126,134
Ikenne,1,1,VI034544,7,1,57,64,76,63,71,99,113,119,111,115,126
Ikenne,1,1,TPt-51,8,1,59,71,76,65,77,101,113,118,111,126,141
Ikenne,1,1,TPt-14,9,1,57,71,76,71,80,99,128,,111,134,
Ikenne,1,1,2A,10,1,63,76,77,73,80,107,116,,114,127,
Ikenne,1,2,VI056102,1,2,62,63,71,70,73,107,113,119,111,113,126
Ikenne,1,2,VI055948,2,2,56,62,71,70,71,99,113,119,111,113,126
Ikenne,1,2,SINGHA (SI-1(c)),3,2,59,71,77,64,78,92,113,118,106,112,128
Ikenne,1,2,VI056940,4,2,57,61,70,63,71,92,113,116,111,115,126
Ikenne,1,2,TPt-48,5,2,62,70,71,71,74,106,113,120,111,126,134
Ikenne,1,2,VI039925,6,2,60,62,66,70,76,99,113,120,107,115,126
Ikenne,1,2,TPt-4-A,7,2,51,62,71,66,71,90,113,119,106,113,126
Ikenne,1,2,TPt-42,8,2,63,73,80,66,78,107,114,126,111,134,142
Ikenne,1,2,VI034581,9,2,62,71,76,77,79,111,114,126,116,134,
Ikenne,1,2,15-Apr,10,2,56,63,65,70,72,92,113,116,111,119,126
Ikenne,1,3,MYO-1,1,3,50,59,64,60,71,86,113,118,107,113,125
Ikenne,1,3,VI034627,2,3,62,65,71,70,76,107,113,118,111,118,125
Ikenne,1,3,PHG 14-0003,3,3,78,80,83,85,86,98,125,141,122,134,
Ikenne,1,3,48B,4,3,52,62,65,66,71,91,113,119,111,113,128
Ikenne,1,3,VI054891,5,3,62,65,67,71,72,107,113,116,113,116,125
Ikenne,1,3,TPt-26,6,3,60,60,60,71,71,114,125,125,134,141,
Ikenne,1,3,VI055249,7,3,56,63,83,74,76,99,111,142,113,127,150
Ikenne,1,3,TPt-3,8,3,84,94,95,90,95,126,141,,141,,
Ikenne,1,3,VI048468,9,3,61,64,67,68,71,108,113,116,111,113,126
Ikenne,1,3,TPt-9,10,3,70,71,71,72,73,111,113,118,113,118,125
Ikenne,1,4,TPT-11,1,4,57,76,77,70,80,99,114,118,107,125,134
Ikenne,1,4,TPt-43,2,4,62,65,71,66,73,106,113,,111,126,
Ikenne,1,4,VI043346A,3,4,55,63,66,67,72,90,113,116,107,126,112
Ikenne,1,4,TPt-10,4,4,58,65,77,62,73,99,113,116,107,118,134
Ikenne,1,4,VI039759,5,4,60,71,76,70,71,107,113,116,111,118,128
Ikenne,1,4,TPt-31,6,4,59,71,76,73,80,104,119,134,111,126,146
Ikenne,1,4,ST CLAIR,7,4,49,60,65,58,71,86,113,118,106,113,119
Ikenne,1,4,VI039962,8,4,76,90,,80,92,114,119,134,118,134,149
Ikenne,1,4,VI038155,9,4,62,65,71,71,78,106,114,118,111,125,134
Ikenne,1,4,VI054640,10,4,70,76,78,78,85,113,116,,113,141,
Ikenne,1,5,VI040854,1,5,62,73,76,66,76,107,114,118,111,127,134
Ikenne,1,5,VI055625,2,5,62,71,76,71,78,106,114,119,111,119,141
Ikenne,1,5,TPt-3-B,3,5,61,76,80,70,85,107,113,118,113,134,146
Ikenne,1,5,TPt-6-A,4,5,63,66,76,70,76,111,113,,113,118,
Ikenne,1,5,VI045119,5,5,55,64,71,66,72,91,113,118,107,116,128
Ikenne,1,5,TPt-6,6,5,56,63,71,69,71,92,113,116,111,118,128
Ikenne,1,5,VI056897,7,5,60,71,76,71,76,106,114,118,111,122,134
Ikenne,1,5,DINO 04-1422,8,5,71,76,77,77,79,113,118,126,118,134,143
Ikenne,1,5,TPt-17,9,5,57,64,67,70,72,99,113,118,107,114,126
Ikenne,1,5,VI039879B,10,5,73,86,92,90,94,114,118,134,118,134,146
Ikenne,1,6,VI041582A,1,6,52,63,71,70,72,90,113,118,111,114,134
Ikenne,1,6,4-A,2,6,56,71,76,65,76,92,113,120,111,128,134
Ikenne,1,6,VI049423,3,6,57,65,76,67,73,99,113,116,113,119,134
Ikenne,1,6,VI034582,4,6,58,63,72,66,71,104,113,119,107,134,142
Ikenne,1,6,VI049044,5,6,56,65,72,72,73,92,114,119,111,127,150
Ikenne,1,6,VI038093,6,6,60,76,77,72,76,106,113,118,111,119,128
Ikenne,1,6,VI049096,7,6,59,71,76,73,76,104,114,118,114,127,
Ikenne,1,6,TPt-32,8,6,64,74,77,76,80,113,116,134,120,134,150
Ikenne,1,6,KTN 13-0027,9,6,79,86,92,87,96,125,134,,134,,
