plots,block,trt
101,1,Check1
102,1,Check2
103,1,Check3
104,1,G47
105,1,G16
106,1,G21
107,1,G24
108,1,G45
109,1,G11
110,1,G35
111,1,G18
112,1,G53
113,1,G37
114,1,G40
201,2,G42
202,2,Check1
203,2,G49
204,2,G27
205,2,G39
206,2,G13
207,2,G5
208,2,G15
209,2,G31
210,2,G3
211,2,G26
212,2,G41
213,2,Check2
214,2,Check3
301,3,G38
302,3,G14
303,3,G50
304,3,G48
305,3,Check1
306,3,G23
307,3,G22
308,3,Check3
309,3,Check2
310,3,G29
311,3,G32
312,3,G17
313,3,G4
314,3,G1
401,4,G2
402,4,G51
403,4,G12
404,4,Check2
405,4,G19
406,4,G28
407,4,G54
408,4,G33
409,4,Check3
410,4,G44
411,4,G52
412,4,G36
413,4,G9
414,4,Check1
501,5,G46
502,5,G34
503,5,G43
504,5,G7
505,5,G6
506,5,G8
507,5,G30
508,5,Check2
509,5,G10
510,5,Check3
511,5,G20
512,5,Check1
513,5,G25
