plots,block,trt
101,1,Check1
102,1,G18
103,1,G49
104,1,G16
105,1,G21
106,1,G31
107,1,G56
108,1,Check2
109,1,G60
110,1,G14
111,1,G27
112,1,G63
113,1,G8
114,1,G46
115,1,G59
201,2,G40
202,2,G54
203,2,Check2
204,2,G55
205,2,G11
206,2,G43
207,2,G23
208,2,G5
209,2,G29
210,2,G12
211,2,G42
212,2,G26
213,2,G41
214,2,G65
215,2,Check1
301,3,G30
302,3,G48
303,3,G3
304,3,G52
305,3,Check1
306,3,G33
307,3,G22
308,3,G39
309,3,G13
310,3,Check2
311,3,G4
312,3,G45
313,3,G58
314,3,G17
315,3,G15
401,4,G36
402,4,G25
403,4,G38
404,4,G57
405,4,Check1
406,4,G19
407,4,G6
408,4,G61
409,4,G7
410,4,Check2
411,4,G50
412,4,G44
413,4,G34
414,4,G32
415,4,G1
501,5,G53
502,5,G37
503,5,G47
504,5,G24
505,5,G20
506,5,G51
507,5,G9
508,5,G28
509,5,Check2
510,5,G35
511,5,G2
512,5,G64
513,5,Check1
514,5,G62
515,5,G10
