"Treatment","Week","Weight"
"T1","0",62.38
"T1","1",126.88
"T1","2",219.86
"T1","3",351.83
"T1","4",529.4
"T1","5",896
"T1","6",1146.2
"T1","0",66.75
"T1","1",137.63
"T1","2",230.38
"T1","3",413.5
"T1","4",717.75
"T1","5",963.25
"T1","6",1259.75
"T1","0",66
"T1","1",120.63
"T1","2",232.17
"T1","3",368.8
"T1","4",642.2
"T1","5",1077
"T1","6",1330
"T1","0",63.25
"T1","1",121.38
"T1","2",242
"T1","3",426.4
"T1","4",711.25
"T1","5",1036.75
"T1","6",1281
"T1","0",65.63
"T1","1",126.88
"T1","2",233.13
"T1","3",372.17
"T1","4",663.33
"T1","5",981.6
"T1","6",1126
"T1","0",60
"T1","1",116.38
"T1","2",237.67
"T1","3",340.67
"T1","4",694.8
"T1","5",966.75
"T1","6",1253
"T1","0",53.63
"T1","1",94.5
"T1","2",194.86
"T1","3",347.14
"T1","4",553.57
"T1","5",866.5
"T1","6",1099.5
"T1","0",68.88
"T1","1",132.86
"T1","2",219.17
"T1","3",377.2
"T1","4",619.25
"T1","5",857.5
"T1","6",1110.5
"T2","0",64.88
"T2","1",124.25
"T2","2",245.88
"T2","3",374
"T2","4",633
"T2","5",936.14
"T2","6",1153.43
"T2","0",58
"T2","1",107.88
"T2","2",180.25
"T2","3",299.8
"T2","4",538
"T2","5",725.5
"T2","6",944
"T2","0",64.13
"T2","1",111.13
"T2","2",189.29
"T2","3",303.29
"T2","4",470.43
"T2","5",546.5
"T2","6",706
"T2","0",63.38
"T2","1",117.75
"T2","2",224.75
"T2","3",390
"T2","4",612.67
"T2","5",868.67
"T2","6",1046
"T2","0",50.88
"T2","1",101.83
"T2","2",186.29
"T2","3",310.17
"T2","4",482.5
"T2","5",742.8
"T2","6",962.2
"T2","0",61.88
"T2","1",113.14
"T2","2",178.2
"T2","3",309.6
"T2","4",528.6
"T2","5",791.55
"T2","6",984
"T2","0",62.63
"T2","1",126.83
"T2","2",223.5
"T2","3",401
"T2","4",575.67
"T2","5",793
"T2","6",1027
"T2","0",69.75
"T2","1",137
"T2","2",233.5
"T2","3",409
"T2","4",681.25
"T2","5",895.5
"T2","6",1040
"T3","0",61.25
"T3","1",118.71
"T3","2",221.33
"T3","3",347.6
"T3","4",662
"T3","5",924.67
"T3","6",1339.5
"T3","0",58
"T3","1",121.17
"T3","2",229
"T3","3",390.33
"T3","4",717
"T3","5",998.33
"T3","6",1264
"T3","0",60.5
"T3","1",113
"T3","2",212.88
"T3","3",392
"T3","4",635
"T3","5",862
"T3","6",1080.83
"T3","0",62.5
"T3","1",128.13
"T3","2",196.38
"T3","3",368.86
"T3","4",559.57
"T3","5",830.2
"T3","6",1087.4
"T3","0",59.88
"T3","1",127.25
"T3","2",212.33
"T3","3",361.2
"T3","4",601.8
"T3","5",647.25
"T3","6",864.5
"T3","0",64.13
"T3","1",120.75
"T3","2",186.86
"T3","3",363
"T3","4",554.33
"T3","5",683
"T3","6",892.5
"T3","0",64.75
"T3","1",110
"T3","2",212.75
"T3","3",395.4
"T3","4",596.8
"T3","5",882
"T3","6",1112.17
"T3","0",64.63
"T3","1",114
"T3","2",218.14
"T3","3",368.57
"T3","4",565.17
"T3","5",735.5
"T3","6",958
"T4","0",61.5
"T4","1",114.43
"T4","2",138.5
"T4","3",303.5
"T4","4",410.2
"T4","5",588.2
"T4","6",755.8
"T4","0",59.38
"T4","1",110
"T4","2",186.63
"T4","3",270.75
"T4","4",550
"T4","5",840.33
"T4","6",1061.67
"T4","0",62.88
"T4","1",121.14
"T4","2",221.75
"T4","3",362.75
"T4","4",601.29
"T4","5",686.33
"T4","6",943.2
"T4","0",58.25
"T4","1",105.71
"T4","2",201.67
"T4","3",317.75
"T4","4",464.25
"T4","5",702.25
"T4","6",963.5
"T4","0",69
"T4","1",125.5
"T4","2",245.43
"T4","3",388.75
"T4","4",804.25
"T4","5",883.6
"T4","6",1118.25
"T4","0",61.13
"T4","1",113.75
"T4","2",174.25
"T4","3",360
"T4","4",669
"T4","5",978.25
"T4","6",1222.5
"T4","0",61.25
"T4","1",114.13
"T4","2",230.17
"T4","3",381.33
"T4","4",552
"T4","5",762.2
"T4","6",963
"T4","0",64.38
"T4","1",117.25
"T4","2",196
"T4","3",318
"T4","4",507
"T4","5",636
"T4","6",805.5
