"LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","RH2M","T2M","PRECTOTCORR"
3.9131902,7.5082593,2021,1,1,1,2021-01-01,81.12,25.33,0.3
3.9131902,7.5082593,2021,1,2,2,2021-01-02,89.19,25.82,0.57
3.9131902,7.5082593,2021,1,3,3,2021-01-03,86.06,26.55,1.09
3.9131902,7.5082593,2021,1,4,4,2021-01-04,84.56,26.51,0.49
3.9131902,7.5082593,2021,1,5,5,2021-01-05,85.12,26.09,0.69
3.9131902,7.5082593,2021,1,6,6,2021-01-06,86.75,25.87,0.3
3.9131902,7.5082593,2021,1,7,7,2021-01-07,87.12,25.72,0.19
3.9131902,7.5082593,2021,1,8,8,2021-01-08,86.5,25.62,0.13
3.9131902,7.5082593,2021,1,9,9,2021-01-09,82.5,25.97,0.11
3.9131902,7.5082593,2021,1,10,10,2021-01-10,81.12,26.15,0.1
3.9131902,7.5082593,2021,1,11,11,2021-01-11,77.62,26.37,0
3.9131902,7.5082593,2021,1,12,12,2021-01-12,73.81,26.24,0
3.9131902,7.5082593,2021,1,13,13,2021-01-13,67.88,24.73,0
3.9131902,7.5082593,2021,1,14,14,2021-01-14,72.75,25.26,0
3.9131902,7.5082593,2021,1,15,15,2021-01-15,68.5,25.34,0
3.9131902,7.5082593,2021,1,16,16,2021-01-16,70.5,24.61,0.07
3.9131902,7.5082593,2021,1,17,17,2021-01-17,78.88,25.7,0.05
3.9131902,7.5082593,2021,1,18,18,2021-01-18,80.69,26.15,0.04
3.9131902,7.5082593,2021,1,19,19,2021-01-19,67.56,25.52,0.05
3.9131902,7.5082593,2021,1,20,20,2021-01-20,70.12,24.12,0.01
3.9131902,7.5082593,2021,1,21,21,2021-01-21,67.62,23.3,0
3.9131902,7.5082593,2021,1,22,22,2021-01-22,65,24.09,0
3.9131902,7.5082593,2021,1,23,23,2021-01-23,60.62,23.81,0
3.9131902,7.5082593,2021,1,24,24,2021-01-24,63.75,23.76,0
3.9131902,7.5082593,2021,1,25,25,2021-01-25,72.06,24.45,0
3.9131902,7.5082593,2021,1,26,26,2021-01-26,76.88,24.69,0
3.9131902,7.5082593,2021,1,27,27,2021-01-27,80.38,25,0
3.9131902,7.5082593,2021,1,28,28,2021-01-28,88.06,24.95,0.01
3.9131902,7.5082593,2021,1,29,29,2021-01-29,79.25,26.39,0.01
3.9131902,7.5082593,2021,1,30,30,2021-01-30,72.94,26.21,0
3.9131902,7.5082593,2021,1,31,31,2021-01-31,82.44,25.43,0.74
3.9131902,7.5082593,2021,2,1,32,2021-02-01,81.69,26.47,0.45
3.9131902,7.5082593,2021,2,2,33,2021-02-02,81.94,26.55,0.56
3.9131902,7.5082593,2021,2,3,34,2021-02-03,80.75,26.78,0.82
3.9131902,7.5082593,2021,2,4,35,2021-02-04,79.56,26.23,0.35
3.9131902,7.5082593,2021,2,5,36,2021-02-05,82.56,26.12,0
3.9131902,7.5082593,2021,2,6,37,2021-02-06,80.44,26.81,0
3.9131902,7.5082593,2021,2,7,38,2021-02-07,81.5,26.82,0
3.9131902,7.5082593,2021,2,8,39,2021-02-08,78.62,27.33,0
3.9131902,7.5082593,2021,2,9,40,2021-02-09,77.75,27.68,0
3.9131902,7.5082593,2021,2,10,41,2021-02-10,79,27.76,0.07
3.9131902,7.5082593,2021,2,11,42,2021-02-11,80.75,27.62,0.17
3.9131902,7.5082593,2021,2,12,43,2021-02-12,84.06,26.79,0.15
3.9131902,7.5082593,2021,2,13,44,2021-02-13,79.75,27.58,0.06
3.9131902,7.5082593,2021,2,14,45,2021-02-14,80.62,27.49,0.18
3.9131902,7.5082593,2021,2,15,46,2021-02-15,79.88,27.51,2.19
3.9131902,7.5082593,2021,2,16,47,2021-02-16,82,27.21,0.85
3.9131902,7.5082593,2021,2,17,48,2021-02-17,74.31,25.38,0.3
3.9131902,7.5082593,2021,2,18,49,2021-02-18,61.88,24.15,0.07
3.9131902,7.5082593,2021,2,19,50,2021-02-19,54.25,22.73,0
3.9131902,7.5082593,2021,2,20,51,2021-02-20,58.88,23.92,0
3.9131902,7.5082593,2021,2,21,52,2021-02-21,62.81,24.24,0
3.9131902,7.5082593,2021,2,22,53,2021-02-22,67.38,24.92,0.01
3.9131902,7.5082593,2021,2,23,54,2021-02-23,79.44,25.83,0.18
3.9131902,7.5082593,2021,2,24,55,2021-02-24,79.12,26.18,0.34
3.9131902,7.5082593,2021,2,25,56,2021-02-25,80.31,26.13,0.01
3.9131902,7.5082593,2021,2,26,57,2021-02-26,81.5,26.41,0.01
3.9131902,7.5082593,2021,2,27,58,2021-02-27,83.94,25.97,0.01
3.9131902,7.5082593,2021,2,28,59,2021-02-28,80.06,26.6,0
3.9131902,7.5082593,2021,3,1,60,2021-03-01,79.81,27.19,0.01
3.9131902,7.5082593,2021,3,2,61,2021-03-02,80,27.23,0
3.9131902,7.5082593,2021,3,3,62,2021-03-03,79.81,27.26,0
3.9131902,7.5082593,2021,3,4,63,2021-03-04,82.06,27.01,0
3.9131902,7.5082593,2021,3,5,64,2021-03-05,82.38,27.13,0
3.9131902,7.5082593,2021,3,6,65,2021-03-06,84.31,26.89,0
3.9131902,7.5082593,2021,3,7,66,2021-03-07,83.62,27.38,1.1
3.9131902,7.5082593,2021,3,8,67,2021-03-08,87.88,26.87,4.09
3.9131902,7.5082593,2021,3,9,68,2021-03-09,90.25,26.47,8.63
3.9131902,7.5082593,2021,3,10,69,2021-03-10,84.38,26.5,4.65
3.9131902,7.5082593,2021,3,11,70,2021-03-11,83.19,26.26,1.42
3.9131902,7.5082593,2021,3,12,71,2021-03-12,86.81,26,1.04
3.9131902,7.5082593,2021,3,13,72,2021-03-13,86.56,25.86,4.73
3.9131902,7.5082593,2021,3,14,73,2021-03-14,88.94,25.19,2.5
3.9131902,7.5082593,2021,3,15,74,2021-03-15,84.75,25.4,0.4
3.9131902,7.5082593,2021,3,16,75,2021-03-16,86.31,25.84,0.43
3.9131902,7.5082593,2021,3,17,76,2021-03-17,89.88,25.26,3.75
3.9131902,7.5082593,2021,3,18,77,2021-03-18,86.44,25.55,0.25
3.9131902,7.5082593,2021,3,19,78,2021-03-19,86.31,25.28,0.44
3.9131902,7.5082593,2021,3,20,79,2021-03-20,84.44,25.79,3.32
3.9131902,7.5082593,2021,3,21,80,2021-03-21,85.5,25.9,0.76
3.9131902,7.5082593,2021,3,22,81,2021-03-22,90.5,25.62,36.7
3.9131902,7.5082593,2021,3,23,82,2021-03-23,88.88,25.65,1.14
3.9131902,7.5082593,2021,3,24,83,2021-03-24,91.19,25.1,2.47
3.9131902,7.5082593,2021,3,25,84,2021-03-25,89.25,25.12,13.33
3.9131902,7.5082593,2021,3,26,85,2021-03-26,82,26.81,4.84
3.9131902,7.5082593,2021,3,27,86,2021-03-27,84.5,26.87,0.41
3.9131902,7.5082593,2021,3,28,87,2021-03-28,81.38,27.06,0.26
