State,Villages,Accession,Accesion,Days to emergence,1-PLT Height(cm),1-Nbr of leaf/plant,1-Leaf length,2-Leaf width,Nb OF Suckers,Nb OF Stolons
Oueme,Hounvigue,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Zou,Hounvigue,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Ketou,Hounvigue,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Oueme,Adjohoun,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Zou,Adjohoun,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Ketou,Adjohoun,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Oueme,Zounnou,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Zou,Zounnou,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Ketou,Zounnou,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Oueme,Sodji,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Zou,Sodji,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Ketou,Sodji,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Oueme,Hounvigue,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Zou,Hounvigue,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Ketou,Hounvigue,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Oueme,Adjohoun,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Zou,Adjohoun,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Ketou,Adjohoun,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Oueme,Zounnou,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Zou,Zounnou,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Ketou,Zounnou,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Oueme,Sodji,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Zou,Sodji,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Ketou,Sodji,A2,O-B-H stolon  22,19,35.75,4,15.85,18.9,0,3
Oueme,Hounvigue,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Zou,Hounvigue,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Ketou,Hounvigue,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Oueme,Adjohoun,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Zou,Adjohoun,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Ketou,Adjohoun,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Oueme,Zounnou,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Zou,Zounnou,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Ketou,Zounnou,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Oueme,Sodji,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Zou,Sodji,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Ketou,Sodji,A3,O-B-H stolon  23,9,45.58,6,16.55,20.65,0,5
Oueme,Hounvigue,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Zou,Hounvigue,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Ketou,Hounvigue,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Oueme,Adjohoun,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Zou,Adjohoun,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Ketou,Adjohoun,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Oueme,Zounnou,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Zou,Zounnou,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Ketou,Zounnou,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Oueme,Sodji,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Zou,Sodji,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Ketou,Sodji,A4,O-B-H stolon  24,9,28.7,6,11.15,13.9,0,4
Oueme,Hounvigue,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Zou,Hounvigue,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Ketou,Hounvigue,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Oueme,Adjohoun,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Zou,Adjohoun,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Ketou,Adjohoun,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Oueme,Zounnou,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Zou,Zounnou,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Ketou,Zounnou,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Oueme,Sodji,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Zou,Sodji,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Ketou,Sodji,A5,O-B-H stolon  25,9,43.08,4,16.4,17.75,0,4
Oueme,Hounvigue,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Zou,Hounvigue,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Ketou,Hounvigue,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Oueme,Adjohoun,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Zou,Adjohoun,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Ketou,Adjohoun,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Oueme,Zounnou,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Zou,Zounnou,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Ketou,Zounnou,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Oueme,Sodji,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Zou,Sodji,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Ketou,Sodji,A6,O-B-H stolon  26,9,40.21,4,15,17.85,0,2
Oueme,Hounvigue,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Zou,Hounvigue,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Ketou,Hounvigue,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Oueme,Adjohoun,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Zou,Adjohoun,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Ketou,Adjohoun,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Oueme,Zounnou,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Zou,Zounnou,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Ketou,Zounnou,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Oueme,Sodji,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Zou,Sodji,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Ketou,Sodji,A7,O-B-H stolon  27,14,36.614,6,14.25,17.6,0,5
Oueme,Hounvigue,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Zou,Hounvigue,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Ketou,Hounvigue,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Oueme,Adjohoun,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Zou,Adjohoun,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Ketou,Adjohoun,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Oueme,Zounnou,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Zou,Zounnou,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Ketou,Zounnou,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Oueme,Sodji,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Zou,Sodji,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Ketou,Sodji,A8,O-B-H stolon  28,7,41.49,4,15.85,19.2,0,2
Oueme,Hounvigue,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Zou,Hounvigue,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Ketou,Hounvigue,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Oueme,Adjohoun,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Zou,Adjohoun,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Ketou,Adjohoun,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Oueme,Zounnou,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Zou,Zounnou,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Ketou,Zounnou,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Oueme,Sodji,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Zou,Sodji,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Ketou,Sodji,A9,O-B-H stolon  29,9,35.8,5,13.4,14.65,0,5
Oueme,Hounvigue,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Zou,Hounvigue,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Ketou,Hounvigue,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Oueme,Adjohoun,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Zou,Adjohoun,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Ketou,Adjohoun,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Oueme,Zounnou,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Zou,Zounnou,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Ketou,Zounnou,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Oueme,Sodji,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Zou,Sodji,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Ketou,Sodji,A10,O-B-H corm  30,21,29.75,6,12.15,14.45,0,3
Oueme,Hounvigue,A11,O-B-H corm  31,21,22.9,5,11,11.5,0,3
Zou,Hounvigue,A11,O-B-H corm  31,21,22.9,5,11,11.5,0,3
