"","Rep","Dry Weight Shoot 1","Dry Weight Root 1","No Of Nodules Per Plant 1","Root Length","Leaf rachis Length","Petiole Leght","Terminal Petiole Length","Terminal leaflet Length","Terminal leaflet Width","Plant Height","Leaf Chlorophyll Content"
"BGB 00026",2,29.5333333333333,2.46666666666667,4.66666666666667,12.8333333333333,11.1,7.86666666666667,3.16666666666667,8.83333333333333,7.42,152.2,30.4444444444444
"BGB 00079",2,28.3666666666667,3.06666666666667,0.333333333333333,17.8333333333333,10.7866666666667,7.23333333333333,3.1,10.6266666666667,7.80666666666667,194.933333333333,32.0555555555556
"BGB 00093",1.5,6.6,1.95,0.5,9.55,11.2785714285714,8.1,3,9.61428571428572,7.64714285714286,122.271428571429,37.7952380952381
"BGB 00177",1.5,13.25,0.75,0,9.15,8.96428571428571,6.08571428571429,2.87142857142857,8.32142857142857,6.63571428571429,178.585714285714,32.9190476190476
"BGB 00250",2,24.0333333333333,2.86666666666667,0,8.06666666666667,12.3133333333333,8.85333333333333,3.87333333333333,10.0933333333333,8.18,184.2,35.4222222222222
"BGB 00270",2,13.0333333333333,1.46666666666667,0.333333333333333,10.1333333333333,9.42,6.75333333333333,2.76666666666667,8.26666666666667,6.36,89.8,35.4444444444444
"BGB 00290",2,13.2333333333333,0.966666666666667,0,10.3666666666667,8.53333333333333,5.73333333333333,2.93333333333333,9.83333333333333,6.83333333333333,141.533333333333,34.4888888888889
"BGB 00330",2,17.2333333333333,2.1,0,10,10.5694987335439,7.47937709121611,2.60151974733419,8.99620063166453,6.88273554520154,131.956221270209,36.5046864087891
"BGB 00375",2,22.0333333333333,2.23333333333333,2.33333333333333,12.5333333333333,12.3857142857143,8.65,3.79285714285714,9.38571428571429,7.92857142857143,149.971428571429,35.047619047619
"BGB 00543",2,14.9666666666667,1.5,5.33333333333333,15.4666666666667,11.1785714285714,8.12857142857143,3.17857142857143,9.86428571428571,7.8,108.928571428571,36.252380952381
"BGB 00769",1.5,17.45,1.75,0,8.85,10.86,7.42666666666667,2.97333333333333,9.5,8.05333333333333,199.533333333333,39.4777777777778
"BGB 00788",2,28.6333333333333,2.4,2,10,10.4666666666667,7.46666666666667,2.83333333333333,8.98,6.92666666666667,167.333333333333,33.3
