"Species","Min","Max"
"Afzelia africana",13.1,30.4
"Albizia adianthifolia",19.2,19.2
"Albizia ferrugenea",11.6,71.6
"Albizia glaberrima",20.4,20.4
"Albizia zygia",11.3,66
"Alstonia boonei",15.5,19.6
"Antiaris toxicaria",10.1,83.6
"Celtis zenkeri",10.5,41.7
"Chrysophyllum albidum",11,21.2
"Cleistopholis patens",14.1,109.8
"Cola acuminata",13.2,13.2
"Cola gigantea",10.5,22.4
"Cola nitida",16.2,37.7
"Daniella ogea",10.2,72.6
"Dialium guineensis",10.5,35.5
"Entandrophragama angolense",16,27.6
"Ficus exasperata",12.2,12.2
"Ficus spp",12.3,12.3
"Ficus vogelii",30.1,30.1
"Funtumia elastica",10,30
"Hollarhena floribunda",17.1,39.9
"Horlarhenna floribunda",16,16
"Irvingia gabonensis",32.4,32.4
"Kigelia africana",15.6,15.6
"Lecaniodiscus cupanioides",10.1,29.7
"Lonchocarpus sericeus",10.5,51.6
"Maesopsis emini",22.1,22.1
"Milicia excelsa",46.1,90.4
"Morus mesozygia",12.3,12.3
"Myrianthus arboreus",11.6,14
"Newbouldia laevis",12.1,18.2
"Pouteria alnifolia",NA,NA
"Pycnanthus angolensis",30,30
"Pycnathus angolensis",15.4,15.4
"Ricinodendron heudelotii",42.3,42.3
"Spondias mombin",10.3,40
"Sterculia tragacantha",10.7,30.1
"Tetrapleura tetraptera",18.2,18.2
"Trichilia",11,11
"Trichilia megalantha",11.5,23.6
"Trichilia megallantha",14.2,14.2
"Trichilia monadelpha",10.1,27.8
"Trichillia monadelpha",26.8,26.8
"Trilepisium madagascariense",11,75.4
"Triplochiton scleroxylon",18.6,127.2
