"Species","Min","Max"
"Afzelia africana",12.8,12.8
"Albizia ferrugima",10,10
"Albizia ferruginea",16.3,37
"Albizia glaberrima",12.8,45.6
"Albizia lebbeck",12.6,12.6
"Albizia zygia",10.2,54.7
"Alstonia boonei",15.5,54.8
"Anthonotha macrophylla",10,21.6
"Antiaris toxicana",10.1,10.1
"Antiaris toxicaria",10.2,80.3
"Baphia nitida",10,44.2
"Baphia pubescence",10.8,23.5
"Blighia sapida",14.7,57.8
"Blighia unijugata",12.3,13
"Bombax buonopozense",16.4,16.4
"Brachystegia eurycoma",11.7,104.5
"Cassia siamea",13,13
"Ceiba petandra",10.7,113.1
"Celltis zenkeri",10,10
"Celtis milbraedii",11.6,11.6
"Celtis philippensis",10.2,29.3
"Celtis phillipensis",10.1,12.5
"Celtis zenkeri",8.3,56.6
"Chrysophyllum albidum",35.3,35.3
"Chysophyihum albianum",32.5,32.5
"Chytranthus macrobotrys",10,10
"Cola acuminata",12.8,27.8
"Cola gigantea",6.6,140.2
"Cola millenii",10,36.1
"Cynometra megalophylla",11.7,11.7
"Dialium guineensis",10.3,27.3
"Diospyros monbuttensis",10,10.4
"Diospyros suaveolens",14.2,14.2
"Entandrophragma angolense",20.8,20.8
"Ficus exasperata",10.2,55.5
"Funtamia elastica",10,15.5
"Funtumia elastica",10,24.1
"Hildegardia  barteri",71.9,99.3
"Hildegardia banteri",28.5,28.5
"Holarrhena floribunda",42.2,42.2
"Khaya grandifoliola",14.1,14.1
"Kigelia africana",10.4,10.4
"Landolphia",11.1,11.1
"Launa weiwetchi",22.1,22.1
"Launaea weiweithi",21.7,21.7
"Lecaniodiscus cupanioides",10.2,23.4
"Mansonia altissima",13.1,39.4
"Marganitaria discordea",13.6,13.6
"Menzoneron benthamianum",15.5,15.5
"Microdesmis puberula",12.4,14.4
"Milicia excelsa",10,10.7
"Monodora tenuifolia",10,15.7
"Napoleonaea imperialis",18.4,18.4
"Nesogodonia papaverifera",10,10
"Newbodia laevis",10.2,10.2
"Newbouldia laevis",10.2,17.8
"Olax subicorpiodiae",11.2,11.2
"Olax subscorpioidea",10,14.5
"Philenoptera cyanescens",10,10
"Picralima nitida",10.2,28.2
"Pouteria alnifolia",10.6,16.5
"Pterocarpus osun",12.3,12.3
"Pterocerpus osun",21.3,21.3
"Pterygota  macrocarpa",10,57.5
"Pterygota macrocarpa",10,79.9
"Ricinodendron",10.3,10.3
"Ricinodendron  heudelotti",32.6,67.8
"Ricinodendron heudelotii",7.9,88.3
"Rothmannia hispida",21.3,21.3
"Rothmannia longiflora",10.1,10.1
"Shypranthus mahrotrys",10.2,10.2
"Sterculia oblonga",50.8,50.8
"Sterculia rhinopetala",10,60
"Sterculia rhinophetala",44,44
"Sterculia tragacanta",10.4,10.4
"Sterculia tragacantha",11.2,24.8
"Strombosia pustulata",10.4,10.4
"Terminalia superba",58.8,58.8
"Trichilia heudelotti",10,10
"Trichilia monadelpha",11.9,11.9
"Trichilia prieuriana",16.5,24.8
"Trichilia prieureana",10.2,11.2
"Trichillia heudellotti",10.2,18.9
"Trichillia heudelotti",23.6,26.7
"Trichillia monadelpha",11.5,22.7
"Trichillia prieuriana",17.2,17.2
"Trilepisium madagascariense",10.2,86.7
"Triplesium madagascariense",19.4,20.8
"Triplochiton scleroxylon",10,97.3
"Vitex rivoularis",10,10
"Zanthoxylum leprieurii",15,15
"unknown",55.3,55.3
