"Species","Min","Max"
"Aidia genipiflora",17,42
"Albizia adianthifolia",21,39
"Albizia zygia",54.7,54.7
"Alstonia cogensis",15,42
"Annickia chlorantha",13,22
"Anthonotha macrophylla",10,24
"Antiaris toxicaria",12,13
"Baphia nitida",10,10
"Baphia pubescens",10,10
"Brachystegia eurycoma",97,97
"Bullet Tree",31,31
"Canarium schweinfurthii",14,17
"Ceiba Petandra",45,45
"Ceiba petandra",14,160
"Celtis Zenkeri",26,45
"Celtis milbreadii",11.6,11.6
"Celtis philippensis",10,27
"Celtis toka",44,44
"Celtis zenkeri",10,114
"Cleistopholis patens",13,100
"Cola Sp",23,23
"Cola Spp",11,19
"Cola gigantea",7.2,115
"Cola nigerica",9,13
"Cola spp",10,18
"Cordia millenii",18,94
"Desplatasia subericarpa",12,16
"Dia lium guinensis",27.3,27.3
"Dialium guineensis",11,11
"Dialium guinensis",6.6,6.6
"Diospyros Muspliformis",13,13
"Diospyros crassiflora",51,51
"Diospyros dendo",10,12
"Diospyros mespiliformis",12,24
"Diospyros mespliformis",21,40
"Diospyros suaveolens",10,31
"Dracaena mannii",13,27
"Entandrophragma cylindricum",17,17
"Ficus exasperata",21,39
"Ficus lutea",32,32
"Funtumia elastica",10,28
"Khaya ivorensis",44,69
"Lecaniodiscus cupanioides",8.7,12.8
"Microdesmis puberula",12,12
"Milicia excelsa",10,75
"Musanga cecropioides",17,45
"Napoleonaea  vogelii",10,14
"Napoleonaea imperialis",20,20
"Napoleonaea ogelli",15,15
"Napoleonaea vogelii",7.8,18
"Napoleonaea vogelli",10,14
"Nauclea diderrichii",21.5,62
"Newbouldia laevis",10.2,14
"Olax subscorpioidea",4.6,7.2
"Picralima nitida",10,33
"Picralima nutida",11,23
"Piptadeniastrum africanum",20,20
"Piptadenisatrum africanum",24.5,24.5
"Pterygota bequarthi",6.9,10.7
"Pterygota macrocarpa",4.5,10.8
"Pycanthus angolensis",42,42
"Pycnanthus angolense",60,60
"Pycnanthus angolensis",40,40
"Ricinodendrum heudelotii",14.6,88.3
"Rothmania longiflora",10.1,10.1
"Rothmannia witfieldii",10,10
"Sterculia oblonga",10,39
"Sterculia rhinopetala",10,30
"Sterculia tragacantha",6.1,10.4
"Stombosia pustulata",10,16
"Strombosia postulata",11,110
"Strombosia pustulata",10,66
"Terminalia ivorensis",18,26
"Terminalia superba",11,66
"Terminallia ivorensis",13,14
"Trichilia heudelotii",10,26.7
"Trichilia monadelpha",17,17
"Trichillia heudelotii",16,24
"Zanthoxyllum leuprierii",16,27
"Zanthoxyllum zanthoxyloides",24,24
"Zanthoxylum zanthoxyloides",16,16
NA,27,27
