N ,Maize ,REP,YIELD
30 kg N,Abeleko,REP 1,1.4
30 kg N,Abeleko,REP 2,1.4
30 kg N,Abeleko,REP 3,1.3
30 kg N,Kewesoke,REP 1,1.6
30 kg N,Kewesoke,REP 2,1.5
30 kg N,Kewesoke,REP 3,1.5
30 kg N,Suwan 1,REP 1,2.1
30 kg N,Suwan 1,REP 2,2.3
30 kg N,Suwan 1,REP 3,2.2
30 kg N,TZESR,REP 1,1.9
30 kg N,TZESR,REP 2,1.8
30 kg N,TZESR,REP 3,2
60 kg N,Abeleko,REP 1,1.9
60 kg N,Abeleko,REP 2,1.8
60 kg N,Abeleko,REP 3,2.1
60 kg N,Kewesoke,REP 1,2.2
60 kg N,Kewesoke,REP 2,2.4
60 kg N,Kewesoke,REP 3,2.5
60 kg N,Suwan 1,REP 1,2.5
60 kg N,Suwan 1,REP 2,2.5
60 kg N,Suwan 1,REP 3,2.8
60 kg N,TZESR,REP 1,2.6
60 kg N,TZESR,REP 2,2.7
60 kg N,TZESR,REP 3,2.8
